Optimization Log
Iteration 0, Best Fitness: 19.738793
Iteration 1, Best Fitness: 19.738793
Iteration 2, Best Fitness: 18.476437
Iteration 3, Best Fitness: 16.186996
Iteration 4, Best Fitness: 15.237670
Iteration 5, Best Fitness: 15.160824
Iteration 6, Best Fitness: 14.407123
Iteration 7, Best Fitness: 12.350888
Iteration 8, Best Fitness: 9.455968
Iteration 9, Best Fitness: 6.904551
Iteration 10, Best Fitness: 5.513588
Iteration 11, Best Fitness: 5.513588
Iteration 12, Best Fitness: 4.591796
Iteration 13, Best Fitness: 4.472653
Iteration 14, Best Fitness: 4.253336
Iteration 15, Best Fitness: 3.655447
Iteration 16, Best Fitness: 3.216912
Iteration 17, Best Fitness: 2.343810
Iteration 18, Best Fitness: 1.598938
Iteration 19, Best Fitness: 1.518754
Iteration 20, Best Fitness: 1.296462
Iteration 21, Best Fitness: 0.991470
Iteration 22, Best Fitness: 0.623897
Iteration 23, Best Fitness: 0.456689
Iteration 24, Best Fitness: 0.326097
Iteration 25, Best Fitness: 0.240503
Iteration 26, Best Fitness: 0.186350
Iteration 27, Best Fitness: 0.128092
Iteration 28, Best Fitness: 0.084663
Iteration 29, Best Fitness: 0.058933
Iteration 30, Best Fitness: 0.051045
Iteration 31, Best Fitness: 0.031006
Iteration 32, Best Fitness: 0.028785
Iteration 33, Best Fitness: 0.019219
Iteration 34, Best Fitness: 0.016865
Iteration 35, Best Fitness: 0.012486
Iteration 36, Best Fitness: 0.009804
Iteration 37, Best Fitness: 0.007444
Iteration 38, Best Fitness: 0.006652
Iteration 39, Best Fitness: 0.004198
Iteration 40, Best Fitness: 0.003357
Iteration 41, Best Fitness: 0.003183
Iteration 42, Best Fitness: 0.002922
Iteration 43, Best Fitness: 0.002443
Iteration 44, Best Fitness: 0.001970
Iteration 45, Best Fitness: 0.001797
Iteration 46, Best Fitness: 0.001714
Iteration 47, Best Fitness: 0.001572
Iteration 48, Best Fitness: 0.001401
Iteration 49, Best Fitness: 0.001177
Iteration 50, Best Fitness: 0.000973
Iteration 51, Best Fitness: 0.000869
Iteration 52, Best Fitness: 0.000735
Iteration 53, Best Fitness: 0.000682
Iteration 54, Best Fitness: 0.000585
Iteration 55, Best Fitness: 0.000501
Iteration 56, Best Fitness: 0.000471
Iteration 57, Best Fitness: 0.000411
Iteration 58, Best Fitness: 0.000372
Iteration 59, Best Fitness: 0.000324
Iteration 60, Best Fitness: 0.000302
Iteration 61, Best Fitness: 0.000283
Iteration 62, Best Fitness: 0.000270
Iteration 63, Best Fitness: 0.000257
Iteration 64, Best Fitness: 0.000239
Iteration 65, Best Fitness: 0.000226
Iteration 66, Best Fitness: 0.000212
Iteration 67, Best Fitness: 0.000197
Iteration 68, Best Fitness: 0.000183
Iteration 69, Best Fitness: 0.000166
Iteration 70, Best Fitness: 0.000159
Iteration 71, Best Fitness: 0.000150
Iteration 72, Best Fitness: 0.000139
Iteration 73, Best Fitness: 0.000130
Iteration 74, Best Fitness: 0.000126
Iteration 75, Best Fitness: 0.000117
Iteration 76, Best Fitness: 0.000114
Iteration 77, Best Fitness: 0.000109
Iteration 78, Best Fitness: 0.000103
Iteration 79, Best Fitness: 0.000100
Iteration 80, Best Fitness: 0.000095
Iteration 81, Best Fitness: 0.000091
Iteration 82, Best Fitness: 0.000088
Iteration 83, Best Fitness: 0.000083
Iteration 84, Best Fitness: 0.000080
Iteration 85, Best Fitness: 0.000078
Iteration 86, Best Fitness: 0.000076
Iteration 87, Best Fitness: 0.000074
Iteration 88, Best Fitness: 0.000073
Iteration 89, Best Fitness: 0.000070
Iteration 90, Best Fitness: 0.000069
Iteration 91, Best Fitness: 0.000067
Iteration 92, Best Fitness: 0.000066
Iteration 93, Best Fitness: 0.000065
Iteration 94, Best Fitness: 0.000064
Iteration 95, Best Fitness: 0.000064
Iteration 96, Best Fitness: 0.000063
Iteration 97, Best Fitness: 0.000062
Iteration 98, Best Fitness: 0.000062
Iteration 99, Best Fitness: 0.000062

Final Best Fitness: 6.173532142428328e-05
Best Position Found:
[ 1.64182866e-05 -1.76899912e-05 -1.60965811e-05  1.35825297e-05
  1.49821917e-05  1.70927734e-05  1.39014395e-05  1.71555437e-05
  1.38527172e-05 -1.26048538e-05]
