Optimization Log
Iteration 0, Best Fitness: 893.024740
Iteration 1, Best Fitness: 767.179453
Iteration 2, Best Fitness: 589.246306
Iteration 3, Best Fitness: 341.683640
Iteration 4, Best Fitness: 341.683640
Iteration 5, Best Fitness: 274.278747
Iteration 6, Best Fitness: 242.393656
Iteration 7, Best Fitness: 227.216227
Iteration 8, Best Fitness: 195.451636
Iteration 9, Best Fitness: 172.648578
Iteration 10, Best Fitness: 129.634759
Iteration 11, Best Fitness: 103.766780
Iteration 12, Best Fitness: 82.702039
Iteration 13, Best Fitness: 58.703232
Iteration 14, Best Fitness: 48.163017
Iteration 15, Best Fitness: 34.777317
Iteration 16, Best Fitness: 27.188788
Iteration 17, Best Fitness: 18.720372
Iteration 18, Best Fitness: 11.914902
Iteration 19, Best Fitness: 9.908717
Iteration 20, Best Fitness: 8.406336
Iteration 21, Best Fitness: 6.620772
Iteration 22, Best Fitness: 4.623068
Iteration 23, Best Fitness: 3.847680
Iteration 24, Best Fitness: 3.285686
Iteration 25, Best Fitness: 2.539667
Iteration 26, Best Fitness: 2.539667
Iteration 27, Best Fitness: 2.201596
Iteration 28, Best Fitness: 1.907966
Iteration 29, Best Fitness: 1.617530
Iteration 30, Best Fitness: 1.521464
Iteration 31, Best Fitness: 1.389312
Iteration 32, Best Fitness: 1.353153
Iteration 33, Best Fitness: 1.289262
Iteration 34, Best Fitness: 1.251557
Iteration 35, Best Fitness: 1.202157
Iteration 36, Best Fitness: 1.165100
Iteration 37, Best Fitness: 1.137426
Iteration 38, Best Fitness: 1.108736
Iteration 39, Best Fitness: 1.088978
Iteration 40, Best Fitness: 1.080003
Iteration 41, Best Fitness: 1.064823
Iteration 42, Best Fitness: 1.044644
Iteration 43, Best Fitness: 1.039705
Iteration 44, Best Fitness: 1.033762
Iteration 45, Best Fitness: 1.019214
Iteration 46, Best Fitness: 1.002299
Iteration 47, Best Fitness: 0.987339
Iteration 48, Best Fitness: 0.960270
Iteration 49, Best Fitness: 0.942610
Iteration 50, Best Fitness: 0.907283
Iteration 51, Best Fitness: 0.863109
Iteration 52, Best Fitness: 0.804271
Iteration 53, Best Fitness: 0.683871
Iteration 54, Best Fitness: 0.683871
Iteration 55, Best Fitness: 0.645754
Iteration 56, Best Fitness: 0.576606
Iteration 57, Best Fitness: 0.538258
Iteration 58, Best Fitness: 0.509893
Iteration 59, Best Fitness: 0.463244
Iteration 60, Best Fitness: 0.425710
Iteration 61, Best Fitness: 0.383429
Iteration 62, Best Fitness: 0.363011
Iteration 63, Best Fitness: 0.327687
Iteration 64, Best Fitness: 0.279868
Iteration 65, Best Fitness: 0.279868
Iteration 66, Best Fitness: 0.267578
Iteration 67, Best Fitness: 0.244904
Iteration 68, Best Fitness: 0.225403
Iteration 69, Best Fitness: 0.209881
Iteration 70, Best Fitness: 0.205703
Iteration 71, Best Fitness: 0.190416
Iteration 72, Best Fitness: 0.183169
Iteration 73, Best Fitness: 0.176136
Iteration 74, Best Fitness: 0.168763
Iteration 75, Best Fitness: 0.158524
Iteration 76, Best Fitness: 0.154929
Iteration 77, Best Fitness: 0.141636
Iteration 78, Best Fitness: 0.140704
Iteration 79, Best Fitness: 0.133992
Iteration 80, Best Fitness: 0.129350
Iteration 81, Best Fitness: 0.123534
Iteration 82, Best Fitness: 0.121155
Iteration 83, Best Fitness: 0.116105
Iteration 84, Best Fitness: 0.110088
Iteration 85, Best Fitness: 0.110088
Iteration 86, Best Fitness: 0.107434
Iteration 87, Best Fitness: 0.104996
Iteration 88, Best Fitness: 0.101471
Iteration 89, Best Fitness: 0.100310
Iteration 90, Best Fitness: 0.098176
Iteration 91, Best Fitness: 0.096179
Iteration 92, Best Fitness: 0.094217
Iteration 93, Best Fitness: 0.092869
Iteration 94, Best Fitness: 0.091365
Iteration 95, Best Fitness: 0.090487
Iteration 96, Best Fitness: 0.089699
Iteration 97, Best Fitness: 0.089154
Iteration 98, Best Fitness: 0.088614
Iteration 99, Best Fitness: 0.088498

Final Best Fitness: 0.08849789860235746
Best Position Found:
[ 0.0721679   0.11273694  0.15483841 -0.15651065  0.17033271  0.17879364
  0.17159745 -0.20506864 -0.19349272 -0.28531047 -0.22771695  0.24152331
  0.15413775 -0.27859363 -0.2235676  -0.34942918  0.28934917 -0.27196966
  0.1930683  -0.2038503  -0.36513073  0.31578602  0.19100641 -0.34255274
 -0.43746249  0.26384855  0.47307107  0.43586027  0.438566    0.38374519
 -0.02829132 -0.37079493  0.29081811 -0.44086528 -0.34247029  0.31758982
 -0.16030043  0.24543822 -0.42783547  0.38504733]
