Optimization Log
Iteration 0, Best Fitness: 964587292.990850
Iteration 1, Best Fitness: 507028932.214647
Iteration 2, Best Fitness: 422348149.936829
Iteration 3, Best Fitness: 175660356.914825
Iteration 4, Best Fitness: 175660356.914825
Iteration 5, Best Fitness: 125538101.211478
Iteration 6, Best Fitness: 29139453.394157
Iteration 7, Best Fitness: 10478512.389459
Iteration 8, Best Fitness: 10478512.389459
Iteration 9, Best Fitness: 3101889.319143
Iteration 10, Best Fitness: 2795979.080329
Iteration 11, Best Fitness: 76141.168360
Iteration 12, Best Fitness: 76141.168360
Iteration 13, Best Fitness: 76141.168360
Iteration 14, Best Fitness: 43039.098921
Iteration 15, Best Fitness: 41077.769492
Iteration 16, Best Fitness: 41077.769492
Iteration 17, Best Fitness: 18202.910453
Iteration 18, Best Fitness: 43.344995
Iteration 19, Best Fitness: 43.344995
Iteration 20, Best Fitness: 43.344995
Iteration 21, Best Fitness: 43.344995
Iteration 22, Best Fitness: 43.344995
Iteration 23, Best Fitness: 43.344995
Iteration 24, Best Fitness: 43.344995
Iteration 25, Best Fitness: 43.344995
Iteration 26, Best Fitness: 43.344995
Iteration 27, Best Fitness: 40.018889
Iteration 28, Best Fitness: 36.309899
Iteration 29, Best Fitness: 32.531766
Iteration 30, Best Fitness: 28.422683
Iteration 31, Best Fitness: 20.321473
Iteration 32, Best Fitness: 18.561190
Iteration 33, Best Fitness: 16.772155
Iteration 34, Best Fitness: 14.718285
Iteration 35, Best Fitness: 12.864948
Iteration 36, Best Fitness: 11.717855
Iteration 37, Best Fitness: 10.037089
Iteration 38, Best Fitness: 9.144268
Iteration 39, Best Fitness: 6.979139
Iteration 40, Best Fitness: 6.522031
Iteration 41, Best Fitness: 5.992848
Iteration 42, Best Fitness: 5.961994
Iteration 43, Best Fitness: 5.235853
Iteration 44, Best Fitness: 5.235853
Iteration 45, Best Fitness: 5.235853
Iteration 46, Best Fitness: 5.015159
Iteration 47, Best Fitness: 5.015159
Iteration 48, Best Fitness: 4.775884
Iteration 49, Best Fitness: 4.426435
Iteration 50, Best Fitness: 4.426435
Iteration 51, Best Fitness: 4.199258
Iteration 52, Best Fitness: 4.199258
Iteration 53, Best Fitness: 4.107350
Iteration 54, Best Fitness: 3.730282
Iteration 55, Best Fitness: 3.730282
Iteration 56, Best Fitness: 3.730282
Iteration 57, Best Fitness: 3.684152
Iteration 58, Best Fitness: 3.564317
Iteration 59, Best Fitness: 3.564317
Iteration 60, Best Fitness: 3.400343
Iteration 61, Best Fitness: 3.400343
Iteration 62, Best Fitness: 3.303743
Iteration 63, Best Fitness: 2.995526
Iteration 64, Best Fitness: 2.995526
Iteration 65, Best Fitness: 2.911443
Iteration 66, Best Fitness: 2.825746
Iteration 67, Best Fitness: 2.825746
Iteration 68, Best Fitness: 2.754246
Iteration 69, Best Fitness: 2.688268
Iteration 70, Best Fitness: 2.614822
Iteration 71, Best Fitness: 2.542859
Iteration 72, Best Fitness: 2.509204
Iteration 73, Best Fitness: 2.465280
Iteration 74, Best Fitness: 2.384393
Iteration 75, Best Fitness: 2.384393
Iteration 76, Best Fitness: 2.383405
Iteration 77, Best Fitness: 2.327081
Iteration 78, Best Fitness: 2.327081
Iteration 79, Best Fitness: 2.302392
Iteration 80, Best Fitness: 2.226154
Iteration 81, Best Fitness: 2.163679
Iteration 82, Best Fitness: 2.163679
Iteration 83, Best Fitness: 2.149153
Iteration 84, Best Fitness: 2.125156
Iteration 85, Best Fitness: 2.106703
Iteration 86, Best Fitness: 2.074134
Iteration 87, Best Fitness: 2.035650
Iteration 88, Best Fitness: 2.028016
Iteration 89, Best Fitness: 2.010096
Iteration 90, Best Fitness: 1.998361
Iteration 91, Best Fitness: 1.968775
Iteration 92, Best Fitness: 1.949843
Iteration 93, Best Fitness: 1.941588
Iteration 94, Best Fitness: 1.920996
Iteration 95, Best Fitness: 1.920996
Iteration 96, Best Fitness: 1.914937
Iteration 97, Best Fitness: 1.904490
Iteration 98, Best Fitness: 1.899574
Iteration 99, Best Fitness: 1.896721

Final Best Fitness: 1.8967212107106917
Best Position Found:
[-1.0144088   0.08749722  0.26742167  2.56326089  2.7865132  -0.24039941
  2.35152908 -1.00237415  0.06390291  0.53640235  1.13435125  0.16291509
 -0.95025559  1.08039828  2.83112569 -1.01917357 -1.24733263  0.36717081
  0.6035899   0.3503509   0.13610238  0.39695466  2.50649479  2.9393015
  2.9570911  -1.01418718  0.96160513 -0.80243192  0.74574909 -0.85526984
  0.34736864  2.46840566  2.90207247 -1.02081089  1.38413264 -0.83889354
 -0.82977647  0.21524899  0.61858173 -0.05693458]
