Optimization Log
Iteration 0, Best Fitness: 11287251747.221270
Iteration 1, Best Fitness: 3675579353.845963
Iteration 2, Best Fitness: 3675579353.845963
Iteration 3, Best Fitness: 1815730185.099826
Iteration 4, Best Fitness: 1736753340.182254
Iteration 5, Best Fitness: 1276786092.142290
Iteration 6, Best Fitness: 857652749.926804
Iteration 7, Best Fitness: 857652749.926804
Iteration 8, Best Fitness: 799419377.855937
Iteration 9, Best Fitness: 443183656.320729
Iteration 10, Best Fitness: 408797320.132343
Iteration 11, Best Fitness: 174495836.783260
Iteration 12, Best Fitness: 129402482.903639
Iteration 13, Best Fitness: 110859108.521411
Iteration 14, Best Fitness: 72090617.300771
Iteration 15, Best Fitness: 48337050.245625
Iteration 16, Best Fitness: 42045512.384853
Iteration 17, Best Fitness: 12057574.913617
Iteration 18, Best Fitness: 12057574.913617
Iteration 19, Best Fitness: 8792288.264493
Iteration 20, Best Fitness: 6408910.166325
Iteration 21, Best Fitness: 3943827.603620
Iteration 22, Best Fitness: 2712088.194401
Iteration 23, Best Fitness: 1464999.781682
Iteration 24, Best Fitness: 496909.526690
Iteration 25, Best Fitness: 404927.437284
Iteration 26, Best Fitness: 371444.349477
Iteration 27, Best Fitness: 177778.103916
Iteration 28, Best Fitness: 102066.023275
Iteration 29, Best Fitness: 76136.201958
Iteration 30, Best Fitness: 51139.472455
Iteration 31, Best Fitness: 26602.937387
Iteration 32, Best Fitness: 22474.275687
Iteration 33, Best Fitness: 13448.643382
Iteration 34, Best Fitness: 12789.554249
Iteration 35, Best Fitness: 6513.816972
Iteration 36, Best Fitness: 3089.005743
Iteration 37, Best Fitness: 3048.370832
Iteration 38, Best Fitness: 2197.949396
Iteration 39, Best Fitness: 1711.485248
Iteration 40, Best Fitness: 993.052251
Iteration 41, Best Fitness: 834.706196
Iteration 42, Best Fitness: 571.468722
Iteration 43, Best Fitness: 349.080369
Iteration 44, Best Fitness: 309.697676
Iteration 45, Best Fitness: 254.627690
Iteration 46, Best Fitness: 205.974093
Iteration 47, Best Fitness: 166.734013
Iteration 48, Best Fitness: 100.157142
Iteration 49, Best Fitness: 87.863206
Iteration 50, Best Fitness: 51.442878
Iteration 51, Best Fitness: 47.145636
Iteration 52, Best Fitness: 37.445004
Iteration 53, Best Fitness: 26.791317
Iteration 54, Best Fitness: 25.736385
Iteration 55, Best Fitness: 21.316941
Iteration 56, Best Fitness: 19.353777
Iteration 57, Best Fitness: 16.839297
Iteration 58, Best Fitness: 12.497779
Iteration 59, Best Fitness: 9.951494
Iteration 60, Best Fitness: 8.726619
Iteration 61, Best Fitness: 6.823337
Iteration 62, Best Fitness: 5.123078
Iteration 63, Best Fitness: 4.709722
Iteration 64, Best Fitness: 4.709722
Iteration 65, Best Fitness: 3.825207
Iteration 66, Best Fitness: 3.449717
Iteration 67, Best Fitness: 3.283683
Iteration 68, Best Fitness: 3.084698
Iteration 69, Best Fitness: 2.805508
Iteration 70, Best Fitness: 2.376705
Iteration 71, Best Fitness: 1.846723
Iteration 72, Best Fitness: 1.806610
Iteration 73, Best Fitness: 1.231133
Iteration 74, Best Fitness: 1.231133
Iteration 75, Best Fitness: 1.231133
Iteration 76, Best Fitness: 1.231133
Iteration 77, Best Fitness: 1.076520
Iteration 78, Best Fitness: 1.072677
Iteration 79, Best Fitness: 0.899406
Iteration 80, Best Fitness: 0.899406
Iteration 81, Best Fitness: 0.756059
Iteration 82, Best Fitness: 0.756059
Iteration 83, Best Fitness: 0.756059
Iteration 84, Best Fitness: 0.756059
Iteration 85, Best Fitness: 0.731737
Iteration 86, Best Fitness: 0.694303
Iteration 87, Best Fitness: 0.692272
Iteration 88, Best Fitness: 0.692272
Iteration 89, Best Fitness: 0.692272
Iteration 90, Best Fitness: 0.683188
Iteration 91, Best Fitness: 0.683188
Iteration 92, Best Fitness: 0.624781
Iteration 93, Best Fitness: 0.624781
Iteration 94, Best Fitness: 0.624781
Iteration 95, Best Fitness: 0.624781
Iteration 96, Best Fitness: 0.624781
Iteration 97, Best Fitness: 0.624781
Iteration 98, Best Fitness: 0.624781
Iteration 99, Best Fitness: 0.624781

Final Best Fitness: 0.6247807406197151
Best Position Found:
[-0.43557166  0.38332726 -0.25290251 -0.22944102  0.09758388 -0.25557474
 -0.2612391   0.10369515 -0.03872896 -0.2432511  -0.07987284  0.2208778
  0.20142678  0.19251422 -0.16533741  0.14246498 -0.16583589  0.23022599
  0.22702878  0.17504693 -0.20639575  0.11928001  0.16191756 -0.04505113
 -0.1646006   0.18970837 -0.16435035  0.18793189  0.16226978 -0.11440938]
