Optimization Log
Iteration 0, Best Fitness: 286.443440
Iteration 1, Best Fitness: 248.103859
Iteration 2, Best Fitness: 222.081799
Iteration 3, Best Fitness: 202.382384
Iteration 4, Best Fitness: 202.382384
Iteration 5, Best Fitness: 173.208894
Iteration 6, Best Fitness: 173.208894
Iteration 7, Best Fitness: 166.370350
Iteration 8, Best Fitness: 166.370350
Iteration 9, Best Fitness: 166.370350
Iteration 10, Best Fitness: 135.820400
Iteration 11, Best Fitness: 135.820400
Iteration 12, Best Fitness: 135.820400
Iteration 13, Best Fitness: 135.820400
Iteration 14, Best Fitness: 135.820400
Iteration 15, Best Fitness: 135.820400
Iteration 16, Best Fitness: 135.820400
Iteration 17, Best Fitness: 135.820400
Iteration 18, Best Fitness: 135.820400
Iteration 19, Best Fitness: 129.558551
Iteration 20, Best Fitness: 129.558551
Iteration 21, Best Fitness: 111.219600
Iteration 22, Best Fitness: 111.219600
Iteration 23, Best Fitness: 111.219600
Iteration 24, Best Fitness: 105.900414
Iteration 25, Best Fitness: 89.679547
Iteration 26, Best Fitness: 88.236940
Iteration 27, Best Fitness: 79.030389
Iteration 28, Best Fitness: 65.404531
Iteration 29, Best Fitness: 65.404531
Iteration 30, Best Fitness: 62.229751
Iteration 31, Best Fitness: 62.229751
Iteration 32, Best Fitness: 62.229751
Iteration 33, Best Fitness: 62.229751
Iteration 34, Best Fitness: 62.229751
Iteration 35, Best Fitness: 62.229751
Iteration 36, Best Fitness: 61.097197
Iteration 37, Best Fitness: 55.970698
Iteration 38, Best Fitness: 55.970698
Iteration 39, Best Fitness: 52.229437
Iteration 40, Best Fitness: 48.133081
Iteration 41, Best Fitness: 36.165015
Iteration 42, Best Fitness: 36.165015
Iteration 43, Best Fitness: 36.165015
Iteration 44, Best Fitness: 36.165015
Iteration 45, Best Fitness: 36.165015
Iteration 46, Best Fitness: 36.165015
Iteration 47, Best Fitness: 36.165015
Iteration 48, Best Fitness: 36.165015
Iteration 49, Best Fitness: 36.165015
Iteration 50, Best Fitness: 36.165015
Iteration 51, Best Fitness: 35.923211
Iteration 52, Best Fitness: 35.345685
Iteration 53, Best Fitness: 35.345685
Iteration 54, Best Fitness: 34.580209
Iteration 55, Best Fitness: 26.957213
Iteration 56, Best Fitness: 26.957213
Iteration 57, Best Fitness: 26.957213
Iteration 58, Best Fitness: 26.957213
Iteration 59, Best Fitness: 26.957213
Iteration 60, Best Fitness: 26.957213
Iteration 61, Best Fitness: 26.957213
Iteration 62, Best Fitness: 20.070286
Iteration 63, Best Fitness: 20.070286
Iteration 64, Best Fitness: 20.070286
Iteration 65, Best Fitness: 20.070286
Iteration 66, Best Fitness: 20.070286
Iteration 67, Best Fitness: 20.070286
Iteration 68, Best Fitness: 20.070286
Iteration 69, Best Fitness: 20.070286
Iteration 70, Best Fitness: 20.070286
Iteration 71, Best Fitness: 18.369557
Iteration 72, Best Fitness: 18.369557
Iteration 73, Best Fitness: 18.369557
Iteration 74, Best Fitness: 18.369557
Iteration 75, Best Fitness: 18.369557
Iteration 76, Best Fitness: 18.369557
Iteration 77, Best Fitness: 18.369557
Iteration 78, Best Fitness: 18.369557
Iteration 79, Best Fitness: 18.369557
Iteration 80, Best Fitness: 17.563313
Iteration 81, Best Fitness: 17.563313
Iteration 82, Best Fitness: 17.563313
Iteration 83, Best Fitness: 17.563313
Iteration 84, Best Fitness: 17.413302
Iteration 85, Best Fitness: 17.413302
Iteration 86, Best Fitness: 17.413302
Iteration 87, Best Fitness: 17.413302
Iteration 88, Best Fitness: 16.852096
Iteration 89, Best Fitness: 16.693276
Iteration 90, Best Fitness: 16.483112
Iteration 91, Best Fitness: 16.145537
Iteration 92, Best Fitness: 16.145537
Iteration 93, Best Fitness: 16.016606
Iteration 94, Best Fitness: 15.850834
Iteration 95, Best Fitness: 15.834435
Iteration 96, Best Fitness: 15.788933
Iteration 97, Best Fitness: 15.653347
Iteration 98, Best Fitness: 15.596727
Iteration 99, Best Fitness: 15.528955

Final Best Fitness: 15.528955394433154
Best Position Found:
[ 0.99132696 -0.06260304 -0.03903539 -1.99535107 -0.98379098 -0.99277682
 -0.06686297 -0.02315983  0.99752788  0.020192    0.00456988 -0.02157809
  0.03726815 -0.01161832  0.05737551  0.05580723  0.99296772  0.0470229
  0.08256466  0.99330794]
