Optimization Log
Iteration 0, Best Fitness: 35898087.633513
Iteration 1, Best Fitness: 19410960.085333
Iteration 2, Best Fitness: 13671036.399184
Iteration 3, Best Fitness: 8182096.431926
Iteration 4, Best Fitness: 1688991.254674
Iteration 5, Best Fitness: 1419863.712636
Iteration 6, Best Fitness: 1087812.008622
Iteration 7, Best Fitness: 443455.556089
Iteration 8, Best Fitness: 350162.555979
Iteration 9, Best Fitness: 96018.568303
Iteration 10, Best Fitness: 16447.377275
Iteration 11, Best Fitness: 6342.416096
Iteration 12, Best Fitness: 5563.749758
Iteration 13, Best Fitness: 1439.552558
Iteration 14, Best Fitness: 885.926821
Iteration 15, Best Fitness: 731.590647
Iteration 16, Best Fitness: 324.551621
Iteration 17, Best Fitness: 202.421845
Iteration 18, Best Fitness: 139.652194
Iteration 19, Best Fitness: 132.213731
Iteration 20, Best Fitness: 132.213731
Iteration 21, Best Fitness: 128.626700
Iteration 22, Best Fitness: 122.332135
Iteration 23, Best Fitness: 122.332135
Iteration 24, Best Fitness: 111.387735
Iteration 25, Best Fitness: 96.364864
Iteration 26, Best Fitness: 95.647408
Iteration 27, Best Fitness: 72.608787
Iteration 28, Best Fitness: 63.944767
Iteration 29, Best Fitness: 53.833041
Iteration 30, Best Fitness: 36.985753
Iteration 31, Best Fitness: 34.075921
Iteration 32, Best Fitness: 32.514605
Iteration 33, Best Fitness: 25.594186
Iteration 34, Best Fitness: 15.993536
Iteration 35, Best Fitness: 15.993536
Iteration 36, Best Fitness: 14.201195
Iteration 37, Best Fitness: 13.032972
Iteration 38, Best Fitness: 11.253286
Iteration 39, Best Fitness: 9.197215
Iteration 40, Best Fitness: 8.515628
Iteration 41, Best Fitness: 7.983006
Iteration 42, Best Fitness: 7.983006
Iteration 43, Best Fitness: 7.983006
Iteration 44, Best Fitness: 7.688204
Iteration 45, Best Fitness: 7.104570
Iteration 46, Best Fitness: 6.965767
Iteration 47, Best Fitness: 6.965767
Iteration 48, Best Fitness: 6.965767
Iteration 49, Best Fitness: 6.729766
Iteration 50, Best Fitness: 6.628724
Iteration 51, Best Fitness: 6.599716
Iteration 52, Best Fitness: 6.599716
Iteration 53, Best Fitness: 6.599716
Iteration 54, Best Fitness: 6.599716
Iteration 55, Best Fitness: 6.599716
Iteration 56, Best Fitness: 6.599716
Iteration 57, Best Fitness: 6.484171
Iteration 58, Best Fitness: 6.484171
Iteration 59, Best Fitness: 6.484171
Iteration 60, Best Fitness: 6.484171
Iteration 61, Best Fitness: 6.484171
Iteration 62, Best Fitness: 6.484171
Iteration 63, Best Fitness: 6.484171
Iteration 64, Best Fitness: 6.484171
Iteration 65, Best Fitness: 6.484171
Iteration 66, Best Fitness: 6.484171
Iteration 67, Best Fitness: 6.484171
Iteration 68, Best Fitness: 6.484171
Iteration 69, Best Fitness: 6.484171
Iteration 70, Best Fitness: 6.484171
Iteration 71, Best Fitness: 6.440861
Iteration 72, Best Fitness: 6.440861
Iteration 73, Best Fitness: 6.440861
Iteration 74, Best Fitness: 6.440861
Iteration 75, Best Fitness: 6.440861
Iteration 76, Best Fitness: 6.440861
Iteration 77, Best Fitness: 6.440861
Iteration 78, Best Fitness: 6.440861
Iteration 79, Best Fitness: 6.440861
Iteration 80, Best Fitness: 6.440861
Iteration 81, Best Fitness: 6.440861
Iteration 82, Best Fitness: 6.440861
Iteration 83, Best Fitness: 6.333466
Iteration 84, Best Fitness: 6.333466
Iteration 85, Best Fitness: 6.333466
Iteration 86, Best Fitness: 6.321343
Iteration 87, Best Fitness: 6.321343
Iteration 88, Best Fitness: 6.321343
Iteration 89, Best Fitness: 6.281155
Iteration 90, Best Fitness: 6.281155
Iteration 91, Best Fitness: 6.272852
Iteration 92, Best Fitness: 6.249633
Iteration 93, Best Fitness: 6.237161
Iteration 94, Best Fitness: 6.227742
Iteration 95, Best Fitness: 6.216461
Iteration 96, Best Fitness: 6.216461
Iteration 97, Best Fitness: 6.211655
Iteration 98, Best Fitness: 6.211655
Iteration 99, Best Fitness: 6.199050

Final Best Fitness: 6.199049573387125
Best Position Found:
[0.81213922 0.66336287 0.43530669 0.18448558 0.03029196 0.02148192
 0.02767057 0.03999219 0.02872417 0.00911804]
