Optimization Log
Iteration 0, Best Fitness: 86.206213
Iteration 1, Best Fitness: 86.206213
Iteration 2, Best Fitness: 86.206213
Iteration 3, Best Fitness: 86.206213
Iteration 4, Best Fitness: 86.206213
Iteration 5, Best Fitness: 82.629939
Iteration 6, Best Fitness: 82.629939
Iteration 7, Best Fitness: 82.629939
Iteration 8, Best Fitness: 82.629939
Iteration 9, Best Fitness: 78.946290
Iteration 10, Best Fitness: 74.419056
Iteration 11, Best Fitness: 74.289002
Iteration 12, Best Fitness: 74.289002
Iteration 13, Best Fitness: 66.168205
Iteration 14, Best Fitness: 52.770818
Iteration 15, Best Fitness: 52.770818
Iteration 16, Best Fitness: 47.030067
Iteration 17, Best Fitness: 47.030067
Iteration 18, Best Fitness: 47.030067
Iteration 19, Best Fitness: 44.149591
Iteration 20, Best Fitness: 43.591568
Iteration 21, Best Fitness: 34.215989
Iteration 22, Best Fitness: 33.781257
Iteration 23, Best Fitness: 31.130722
Iteration 24, Best Fitness: 28.961554
Iteration 25, Best Fitness: 28.961554
Iteration 26, Best Fitness: 28.627835
Iteration 27, Best Fitness: 24.949546
Iteration 28, Best Fitness: 19.520884
Iteration 29, Best Fitness: 19.520884
Iteration 30, Best Fitness: 19.520884
Iteration 31, Best Fitness: 18.491000
Iteration 32, Best Fitness: 17.790958
Iteration 33, Best Fitness: 16.121812
Iteration 34, Best Fitness: 13.478356
Iteration 35, Best Fitness: 13.339236
Iteration 36, Best Fitness: 12.945744
Iteration 37, Best Fitness: 11.707687
Iteration 38, Best Fitness: 11.301875
Iteration 39, Best Fitness: 11.146556
Iteration 40, Best Fitness: 11.146556
Iteration 41, Best Fitness: 10.589962
Iteration 42, Best Fitness: 9.939707
Iteration 43, Best Fitness: 8.951429
Iteration 44, Best Fitness: 8.951429
Iteration 45, Best Fitness: 8.822772
Iteration 46, Best Fitness: 8.731160
Iteration 47, Best Fitness: 7.794054
Iteration 48, Best Fitness: 7.188666
Iteration 49, Best Fitness: 7.188666
Iteration 50, Best Fitness: 6.468198
Iteration 51, Best Fitness: 6.468198
Iteration 52, Best Fitness: 6.468198
Iteration 53, Best Fitness: 6.255358
Iteration 54, Best Fitness: 6.148243
Iteration 55, Best Fitness: 5.831614
Iteration 56, Best Fitness: 5.636843
Iteration 57, Best Fitness: 5.053264
Iteration 58, Best Fitness: 4.724984
Iteration 59, Best Fitness: 4.685224
Iteration 60, Best Fitness: 4.653366
Iteration 61, Best Fitness: 4.461212
Iteration 62, Best Fitness: 4.416624
Iteration 63, Best Fitness: 4.217169
Iteration 64, Best Fitness: 4.217169
Iteration 65, Best Fitness: 4.047763
Iteration 66, Best Fitness: 3.895065
Iteration 67, Best Fitness: 3.610425
Iteration 68, Best Fitness: 3.610425
Iteration 69, Best Fitness: 3.610425
Iteration 70, Best Fitness: 3.505094
Iteration 71, Best Fitness: 3.361573
Iteration 72, Best Fitness: 3.211108
Iteration 73, Best Fitness: 3.145896
Iteration 74, Best Fitness: 3.115229
Iteration 75, Best Fitness: 3.084002
Iteration 76, Best Fitness: 3.084002
Iteration 77, Best Fitness: 2.958954
Iteration 78, Best Fitness: 2.954932
Iteration 79, Best Fitness: 2.826769
Iteration 80, Best Fitness: 2.826769
Iteration 81, Best Fitness: 2.790546
Iteration 82, Best Fitness: 2.760977
Iteration 83, Best Fitness: 2.752199
Iteration 84, Best Fitness: 2.726212
Iteration 85, Best Fitness: 2.561076
Iteration 86, Best Fitness: 2.561076
Iteration 87, Best Fitness: 2.561076
Iteration 88, Best Fitness: 2.561076
Iteration 89, Best Fitness: 2.544444
Iteration 90, Best Fitness: 2.491036
Iteration 91, Best Fitness: 2.453496
Iteration 92, Best Fitness: 2.420770
Iteration 93, Best Fitness: 2.361958
Iteration 94, Best Fitness: 2.333470
Iteration 95, Best Fitness: 2.324447
Iteration 96, Best Fitness: 2.309769
Iteration 97, Best Fitness: 2.274000
Iteration 98, Best Fitness: 2.272793
Iteration 99, Best Fitness: 2.264430

Final Best Fitness: 2.2644295024815215
Best Position Found:
[-0.57436695 -2.16352917  1.59942079  2.22477292 -1.59858079 -0.61552238
  2.25845053  2.2644295  -1.19924584  2.25745429  0.53260037  2.08674808
  0.20637748 -2.15777661 -0.11281981  2.21837721 -2.21262005  2.23765611
  1.9415019  -2.21671548 -2.21048824  1.49151122  2.1914938  -0.92455225
  0.21382596  1.90760318 -2.2509019  -2.18210652  2.2203717  -2.17610708]
