Optimization Log
Iteration 0, Best Fitness: -1258.068361
Iteration 1, Best Fitness: -1258.068361
Iteration 2, Best Fitness: -2078.174688
Iteration 3, Best Fitness: -2078.174688
Iteration 4, Best Fitness: -2466.501118
Iteration 5, Best Fitness: -2466.501118
Iteration 6, Best Fitness: -2466.501118
Iteration 7, Best Fitness: -2466.501118
Iteration 8, Best Fitness: -2466.501118
Iteration 9, Best Fitness: -2466.501118
Iteration 10, Best Fitness: -2466.501118
Iteration 11, Best Fitness: -2466.501118
Iteration 12, Best Fitness: -2466.501118
Iteration 13, Best Fitness: -2466.501118
Iteration 14, Best Fitness: -2515.789532
Iteration 15, Best Fitness: -2515.789532
Iteration 16, Best Fitness: -2515.789532
Iteration 17, Best Fitness: -2515.789532
Iteration 18, Best Fitness: -2515.789532
Iteration 19, Best Fitness: -2515.789532
Iteration 20, Best Fitness: -2515.789532
Iteration 21, Best Fitness: -2515.789532
Iteration 22, Best Fitness: -2515.789532
Iteration 23, Best Fitness: -2515.789532
Iteration 24, Best Fitness: -2515.789532
Iteration 25, Best Fitness: -2515.789532
Iteration 26, Best Fitness: -2515.789532
Iteration 27, Best Fitness: -2515.789532
Iteration 28, Best Fitness: -2515.789532
Iteration 29, Best Fitness: -2515.789532
Iteration 30, Best Fitness: -2515.789532
Iteration 31, Best Fitness: -2515.789532
Iteration 32, Best Fitness: -2515.789532
Iteration 33, Best Fitness: -2515.789532
Iteration 34, Best Fitness: -2515.789532
Iteration 35, Best Fitness: -2515.789532
Iteration 36, Best Fitness: -2515.789532
Iteration 37, Best Fitness: -2515.789532
Iteration 38, Best Fitness: -2515.789532
Iteration 39, Best Fitness: -2515.789532
Iteration 40, Best Fitness: -2515.789532
Iteration 41, Best Fitness: -2515.789532
Iteration 42, Best Fitness: -2515.789532
Iteration 43, Best Fitness: -2515.789532
Iteration 44, Best Fitness: -2515.789532
Iteration 45, Best Fitness: -2515.789532
Iteration 46, Best Fitness: -2515.789532
Iteration 47, Best Fitness: -2515.789532
Iteration 48, Best Fitness: -2515.789532
Iteration 49, Best Fitness: -2515.789532
Iteration 50, Best Fitness: -2515.789532
Iteration 51, Best Fitness: -2515.789532
Iteration 52, Best Fitness: -2515.789532
Iteration 53, Best Fitness: -2515.789532
Iteration 54, Best Fitness: -2515.789532
Iteration 55, Best Fitness: -2515.789532
Iteration 56, Best Fitness: -2515.789532
Iteration 57, Best Fitness: -2515.789532
Iteration 58, Best Fitness: -2515.789532
Iteration 59, Best Fitness: -2515.789532
Iteration 60, Best Fitness: -2515.789532
Iteration 61, Best Fitness: -2515.789532
Iteration 62, Best Fitness: -2515.789532
Iteration 63, Best Fitness: -2515.789532
Iteration 64, Best Fitness: -2515.789532
Iteration 65, Best Fitness: -2515.789532
Iteration 66, Best Fitness: -2515.789532
Iteration 67, Best Fitness: -2515.789532
Iteration 68, Best Fitness: -2515.789532
Iteration 69, Best Fitness: -2515.789532
Iteration 70, Best Fitness: -2515.789532
Iteration 71, Best Fitness: -2515.789532
Iteration 72, Best Fitness: -2515.789532
Iteration 73, Best Fitness: -2515.789532
Iteration 74, Best Fitness: -2515.789532
Iteration 75, Best Fitness: -2515.789532
Iteration 76, Best Fitness: -2515.789532
Iteration 77, Best Fitness: -2515.789532
Iteration 78, Best Fitness: -2515.789532
Iteration 79, Best Fitness: -2515.789532
Iteration 80, Best Fitness: -2515.789532
Iteration 81, Best Fitness: -2515.789532
Iteration 82, Best Fitness: -2515.789532
Iteration 83, Best Fitness: -2515.789532
Iteration 84, Best Fitness: -2515.789532
Iteration 85, Best Fitness: -2515.789532
Iteration 86, Best Fitness: -2515.789532
Iteration 87, Best Fitness: -2515.789532
Iteration 88, Best Fitness: -2515.789532
Iteration 89, Best Fitness: -2515.789532
Iteration 90, Best Fitness: -2515.789532
Iteration 91, Best Fitness: -2515.789532
Iteration 92, Best Fitness: -2515.789532
Iteration 93, Best Fitness: -2515.789532
Iteration 94, Best Fitness: -2515.789532
Iteration 95, Best Fitness: -2515.789532
Iteration 96, Best Fitness: -2515.789532
Iteration 97, Best Fitness: -2515.789532
Iteration 98, Best Fitness: -2515.789532
Iteration 99, Best Fitness: -2515.789532

Final Best Fitness: -2515.7895316600216
Best Position Found:
[  34.85952651   52.94313044 -500.          -69.67080061  239.31315594
  457.49481733 -281.50445781  230.87897095 -487.46956692  443.89585507
  -19.53119307  419.98321468 -280.93646089 -304.27111764 -500.
  461.57342927   82.96225522  299.27744972   10.40470561 -500.        ]
