Optimization Log
Iteration 0, Best Fitness: 18377.021230
Iteration 1, Best Fitness: 10830.338216
Iteration 2, Best Fitness: 3731.504315
Iteration 3, Best Fitness: 2619.083255
Iteration 4, Best Fitness: 2601.570613
Iteration 5, Best Fitness: 944.425731
Iteration 6, Best Fitness: 661.586973
Iteration 7, Best Fitness: 288.595888
Iteration 8, Best Fitness: 288.595888
Iteration 9, Best Fitness: 244.778712
Iteration 10, Best Fitness: 90.889757
Iteration 11, Best Fitness: 63.022899
Iteration 12, Best Fitness: 18.478022
Iteration 13, Best Fitness: 18.478022
Iteration 14, Best Fitness: 16.147577
Iteration 15, Best Fitness: 6.959464
Iteration 16, Best Fitness: 3.957901
Iteration 17, Best Fitness: 1.556849
Iteration 18, Best Fitness: 0.737886
Iteration 19, Best Fitness: 0.612031
Iteration 20, Best Fitness: 0.264276
Iteration 21, Best Fitness: 0.205275
Iteration 22, Best Fitness: 0.125728
Iteration 23, Best Fitness: 0.074350
Iteration 24, Best Fitness: 0.035724
Iteration 25, Best Fitness: 0.013798
Iteration 26, Best Fitness: 0.007185
Iteration 27, Best Fitness: 0.004187
Iteration 28, Best Fitness: 0.002470
Iteration 29, Best Fitness: 0.001789
Iteration 30, Best Fitness: 0.001262
Iteration 31, Best Fitness: 0.000567
Iteration 32, Best Fitness: 0.000528
Iteration 33, Best Fitness: 0.000385
Iteration 34, Best Fitness: 0.000285
Iteration 35, Best Fitness: 0.000192
Iteration 36, Best Fitness: 0.000109
Iteration 37, Best Fitness: 0.000074
Iteration 38, Best Fitness: 0.000047
Iteration 39, Best Fitness: 0.000026
Iteration 40, Best Fitness: 0.000016
Iteration 41, Best Fitness: 0.000010
Iteration 42, Best Fitness: 0.000009
Iteration 43, Best Fitness: 0.000006
Iteration 44, Best Fitness: 0.000004
Iteration 45, Best Fitness: 0.000003
Iteration 46, Best Fitness: 0.000002
Iteration 47, Best Fitness: 0.000001
Iteration 48, Best Fitness: 0.000001
Iteration 49, Best Fitness: 0.000001
Iteration 50, Best Fitness: 0.000001
Iteration 51, Best Fitness: 0.000001
Iteration 52, Best Fitness: 0.000000
Iteration 53, Best Fitness: 0.000000
Iteration 54, Best Fitness: 0.000000
Iteration 55, Best Fitness: 0.000000
Iteration 56, Best Fitness: 0.000000
Iteration 57, Best Fitness: 0.000000
Iteration 58, Best Fitness: 0.000000
Iteration 59, Best Fitness: 0.000000
Iteration 60, Best Fitness: 0.000000
Iteration 61, Best Fitness: 0.000000
Iteration 62, Best Fitness: 0.000000
Iteration 63, Best Fitness: 0.000000
Iteration 64, Best Fitness: 0.000000
Iteration 65, Best Fitness: 0.000000
Iteration 66, Best Fitness: 0.000000
Iteration 67, Best Fitness: 0.000000
Iteration 68, Best Fitness: 0.000000
Iteration 69, Best Fitness: 0.000000
Iteration 70, Best Fitness: 0.000000
Iteration 71, Best Fitness: 0.000000
Iteration 72, Best Fitness: 0.000000
Iteration 73, Best Fitness: 0.000000
Iteration 74, Best Fitness: 0.000000
Iteration 75, Best Fitness: 0.000000
Iteration 76, Best Fitness: 0.000000
Iteration 77, Best Fitness: 0.000000
Iteration 78, Best Fitness: 0.000000
Iteration 79, Best Fitness: 0.000000
Iteration 80, Best Fitness: 0.000000
Iteration 81, Best Fitness: 0.000000
Iteration 82, Best Fitness: 0.000000
Iteration 83, Best Fitness: 0.000000
Iteration 84, Best Fitness: 0.000000
Iteration 85, Best Fitness: 0.000000
Iteration 86, Best Fitness: 0.000000
Iteration 87, Best Fitness: 0.000000
Iteration 88, Best Fitness: 0.000000
Iteration 89, Best Fitness: 0.000000
Iteration 90, Best Fitness: 0.000000
Iteration 91, Best Fitness: 0.000000
Iteration 92, Best Fitness: 0.000000
Iteration 93, Best Fitness: 0.000000
Iteration 94, Best Fitness: 0.000000
Iteration 95, Best Fitness: 0.000000
Iteration 96, Best Fitness: 0.000000
Iteration 97, Best Fitness: 0.000000
Iteration 98, Best Fitness: 0.000000
Iteration 99, Best Fitness: 0.000000

Final Best Fitness: 2.4258812817900662e-09
Best Position Found:
[ 1.48747673e-05  1.58330386e-05  1.74613686e-05  1.62709256e-05
 -1.32632234e-05 -1.28428126e-05 -1.49659673e-05 -1.84238578e-05
  1.29902388e-05 -1.76431037e-05]
