Optimization Log
Iteration 0, Best Fitness: 12293.383349
Iteration 1, Best Fitness: 12293.383349
Iteration 2, Best Fitness: 5861.053490
Iteration 3, Best Fitness: 3060.236234
Iteration 4, Best Fitness: 786.081054
Iteration 5, Best Fitness: 786.081054
Iteration 6, Best Fitness: 530.185586
Iteration 7, Best Fitness: 381.094146
Iteration 8, Best Fitness: 232.277619
Iteration 9, Best Fitness: 93.139005
Iteration 10, Best Fitness: 31.929289
Iteration 11, Best Fitness: 12.962519
Iteration 12, Best Fitness: 12.374292
Iteration 13, Best Fitness: 7.626992
Iteration 14, Best Fitness: 6.332211
Iteration 15, Best Fitness: 3.630646
Iteration 16, Best Fitness: 1.935865
Iteration 17, Best Fitness: 1.481468
Iteration 18, Best Fitness: 1.233736
Iteration 19, Best Fitness: 0.731902
Iteration 20, Best Fitness: 0.547544
Iteration 21, Best Fitness: 0.377883
Iteration 22, Best Fitness: 0.279420
Iteration 23, Best Fitness: 0.279420
Iteration 24, Best Fitness: 0.279420
Iteration 25, Best Fitness: 0.279420
Iteration 26, Best Fitness: 0.279420
Iteration 27, Best Fitness: 0.279420
Iteration 28, Best Fitness: 0.254724
Iteration 29, Best Fitness: 0.254724
Iteration 30, Best Fitness: 0.254724
Iteration 31, Best Fitness: 0.233351
Iteration 32, Best Fitness: 0.233351
Iteration 33, Best Fitness: 0.211598
Iteration 34, Best Fitness: 0.211598
Iteration 35, Best Fitness: 0.205299
Iteration 36, Best Fitness: 0.174201
Iteration 37, Best Fitness: 0.174201
Iteration 38, Best Fitness: 0.174201
Iteration 39, Best Fitness: 0.174201
Iteration 40, Best Fitness: 0.168108
Iteration 41, Best Fitness: 0.168108
Iteration 42, Best Fitness: 0.105026
Iteration 43, Best Fitness: 0.086124
Iteration 44, Best Fitness: 0.054440
Iteration 45, Best Fitness: 0.031398
Iteration 46, Best Fitness: 0.031398
Iteration 47, Best Fitness: 0.031398
Iteration 48, Best Fitness: 0.031398
Iteration 49, Best Fitness: 0.031398
Iteration 50, Best Fitness: 0.031076
Iteration 51, Best Fitness: 0.021765
Iteration 52, Best Fitness: 0.021765
Iteration 53, Best Fitness: 0.021765
Iteration 54, Best Fitness: 0.021765
Iteration 55, Best Fitness: 0.021765
Iteration 56, Best Fitness: 0.021765
Iteration 57, Best Fitness: 0.021765
Iteration 58, Best Fitness: 0.012145
Iteration 59, Best Fitness: 0.012145
Iteration 60, Best Fitness: 0.012145
Iteration 61, Best Fitness: 0.012145
Iteration 62, Best Fitness: 0.012145
Iteration 63, Best Fitness: 0.012145
Iteration 64, Best Fitness: 0.012145
Iteration 65, Best Fitness: 0.012145
Iteration 66, Best Fitness: 0.012145
Iteration 67, Best Fitness: 0.009824
Iteration 68, Best Fitness: 0.009824
Iteration 69, Best Fitness: 0.009824
Iteration 70, Best Fitness: 0.009283
Iteration 71, Best Fitness: 0.009283
Iteration 72, Best Fitness: 0.009283
Iteration 73, Best Fitness: 0.005141
Iteration 74, Best Fitness: 0.005141
Iteration 75, Best Fitness: 0.005141
Iteration 76, Best Fitness: 0.005141
Iteration 77, Best Fitness: 0.005141
Iteration 78, Best Fitness: 0.005141
Iteration 79, Best Fitness: 0.005141
Iteration 80, Best Fitness: 0.005141
Iteration 81, Best Fitness: 0.005141
Iteration 82, Best Fitness: 0.005141
Iteration 83, Best Fitness: 0.002571
Iteration 84, Best Fitness: 0.002571
Iteration 85, Best Fitness: 0.002571
Iteration 86, Best Fitness: 0.002571
Iteration 87, Best Fitness: 0.002571
Iteration 88, Best Fitness: 0.001757
Iteration 89, Best Fitness: 0.001757
Iteration 90, Best Fitness: 0.001052
Iteration 91, Best Fitness: 0.001052
Iteration 92, Best Fitness: 0.001052
Iteration 93, Best Fitness: 0.001000
Iteration 94, Best Fitness: 0.000840
Iteration 95, Best Fitness: 0.000840
Iteration 96, Best Fitness: 0.000484
Iteration 97, Best Fitness: 0.000185
Iteration 98, Best Fitness: 0.000143
Iteration 99, Best Fitness: 0.000077

Final Best Fitness: 7.685274542722757e-05
Best Position Found:
[-0.49497454 -0.49975432 -0.49560474 -0.50425036 -0.49879665 -0.49843688
 -0.50127507 -0.50293443 -0.50015902 -0.50000022]
