Optimization Log
Iteration 0, Best Fitness: 20.745202
Iteration 1, Best Fitness: 20.092166
Iteration 2, Best Fitness: 20.005863
Iteration 3, Best Fitness: 18.681179
Iteration 4, Best Fitness: 17.430725
Iteration 5, Best Fitness: 17.430725
Iteration 6, Best Fitness: 16.084529
Iteration 7, Best Fitness: 14.407362
Iteration 8, Best Fitness: 13.622565
Iteration 9, Best Fitness: 11.359269
Iteration 10, Best Fitness: 11.359269
Iteration 11, Best Fitness: 9.747668
Iteration 12, Best Fitness: 8.722693
Iteration 13, Best Fitness: 7.276860
Iteration 14, Best Fitness: 6.415405
Iteration 15, Best Fitness: 6.030631
Iteration 16, Best Fitness: 5.138721
Iteration 17, Best Fitness: 4.899690
Iteration 18, Best Fitness: 4.444995
Iteration 19, Best Fitness: 3.818929
Iteration 20, Best Fitness: 3.684828
Iteration 21, Best Fitness: 3.291726
Iteration 22, Best Fitness: 3.033417
Iteration 23, Best Fitness: 2.548011
Iteration 24, Best Fitness: 2.195423
Iteration 25, Best Fitness: 1.921609
Iteration 26, Best Fitness: 1.355348
Iteration 27, Best Fitness: 1.239547
Iteration 28, Best Fitness: 0.897874
Iteration 29, Best Fitness: 0.755722
Iteration 30, Best Fitness: 0.611333
Iteration 31, Best Fitness: 0.524998
Iteration 32, Best Fitness: 0.425380
Iteration 33, Best Fitness: 0.307013
Iteration 34, Best Fitness: 0.256161
Iteration 35, Best Fitness: 0.197072
Iteration 36, Best Fitness: 0.179712
Iteration 37, Best Fitness: 0.157261
Iteration 38, Best Fitness: 0.130645
Iteration 39, Best Fitness: 0.111650
Iteration 40, Best Fitness: 0.094282
Iteration 41, Best Fitness: 0.080200
Iteration 42, Best Fitness: 0.065202
Iteration 43, Best Fitness: 0.056937
Iteration 44, Best Fitness: 0.050545
Iteration 45, Best Fitness: 0.043038
Iteration 46, Best Fitness: 0.040313
Iteration 47, Best Fitness: 0.033941
Iteration 48, Best Fitness: 0.030801
Iteration 49, Best Fitness: 0.028367
Iteration 50, Best Fitness: 0.025229
Iteration 51, Best Fitness: 0.022913
Iteration 52, Best Fitness: 0.020125
Iteration 53, Best Fitness: 0.018200
Iteration 54, Best Fitness: 0.015826
Iteration 55, Best Fitness: 0.015826
Iteration 56, Best Fitness: 0.014415
Iteration 57, Best Fitness: 0.013060
Iteration 58, Best Fitness: 0.012685
Iteration 59, Best Fitness: 0.011913
Iteration 60, Best Fitness: 0.011197
Iteration 61, Best Fitness: 0.010537
Iteration 62, Best Fitness: 0.009722
Iteration 63, Best Fitness: 0.009105
Iteration 64, Best Fitness: 0.008313
Iteration 65, Best Fitness: 0.007856
Iteration 66, Best Fitness: 0.007427
Iteration 67, Best Fitness: 0.006989
Iteration 68, Best Fitness: 0.006643
Iteration 69, Best Fitness: 0.006350
Iteration 70, Best Fitness: 0.006117
Iteration 71, Best Fitness: 0.005891
Iteration 72, Best Fitness: 0.005631
Iteration 73, Best Fitness: 0.005463
Iteration 74, Best Fitness: 0.005210
Iteration 75, Best Fitness: 0.005015
Iteration 76, Best Fitness: 0.004884
Iteration 77, Best Fitness: 0.004665
Iteration 78, Best Fitness: 0.004532
Iteration 79, Best Fitness: 0.004348
Iteration 80, Best Fitness: 0.004200
Iteration 81, Best Fitness: 0.004115
Iteration 82, Best Fitness: 0.004026
Iteration 83, Best Fitness: 0.003911
Iteration 84, Best Fitness: 0.003798
Iteration 85, Best Fitness: 0.003728
Iteration 86, Best Fitness: 0.003616
Iteration 87, Best Fitness: 0.003565
Iteration 88, Best Fitness: 0.003516
Iteration 89, Best Fitness: 0.003446
Iteration 90, Best Fitness: 0.003403
Iteration 91, Best Fitness: 0.003350
Iteration 92, Best Fitness: 0.003292
Iteration 93, Best Fitness: 0.003277
Iteration 94, Best Fitness: 0.003247
Iteration 95, Best Fitness: 0.003225
Iteration 96, Best Fitness: 0.003190
Iteration 97, Best Fitness: 0.003178
Iteration 98, Best Fitness: 0.003165
Iteration 99, Best Fitness: 0.003155

Final Best Fitness: 0.003155370833124227
Best Position Found:
[ 0.00078524 -0.00100821 -0.00078386  0.0009043  -0.00083828  0.00084246
  0.00069594 -0.00045624  0.00055879 -0.00082865 -0.0009008   0.00077237
 -0.00089608  0.00011684  0.00086382 -0.00099904 -0.00084229 -0.00089413
 -0.00066423 -0.00074971  0.00073395  0.00086745  0.00054743  0.00067168
 -0.00087543  0.00092334  0.00063656 -0.00063094  0.00081543  0.00071183]
