Optimization Log
Iteration 0, Best Fitness: 354.086750
Iteration 1, Best Fitness: 302.296039
Iteration 2, Best Fitness: 164.615610
Iteration 3, Best Fitness: 117.990298
Iteration 4, Best Fitness: 38.470237
Iteration 5, Best Fitness: 38.470237
Iteration 6, Best Fitness: 27.906966
Iteration 7, Best Fitness: 19.746069
Iteration 8, Best Fitness: 15.204881
Iteration 9, Best Fitness: 13.662337
Iteration 10, Best Fitness: 11.186399
Iteration 11, Best Fitness: 10.694332
Iteration 12, Best Fitness: 6.074103
Iteration 13, Best Fitness: 4.956779
Iteration 14, Best Fitness: 4.000987
Iteration 15, Best Fitness: 3.084572
Iteration 16, Best Fitness: 2.692828
Iteration 17, Best Fitness: 2.129036
Iteration 18, Best Fitness: 1.887439
Iteration 19, Best Fitness: 1.480411
Iteration 20, Best Fitness: 1.355483
Iteration 21, Best Fitness: 1.250825
Iteration 22, Best Fitness: 1.173024
Iteration 23, Best Fitness: 1.129352
Iteration 24, Best Fitness: 1.103141
Iteration 25, Best Fitness: 1.071910
Iteration 26, Best Fitness: 1.058734
Iteration 27, Best Fitness: 1.044939
Iteration 28, Best Fitness: 1.025300
Iteration 29, Best Fitness: 1.020476
Iteration 30, Best Fitness: 1.015261
Iteration 31, Best Fitness: 0.996722
Iteration 32, Best Fitness: 0.961413
Iteration 33, Best Fitness: 0.897622
Iteration 34, Best Fitness: 0.727075
Iteration 35, Best Fitness: 0.641070
Iteration 36, Best Fitness: 0.477456
Iteration 37, Best Fitness: 0.322076
Iteration 38, Best Fitness: 0.217203
Iteration 39, Best Fitness: 0.169171
Iteration 40, Best Fitness: 0.111752
Iteration 41, Best Fitness: 0.089109
Iteration 42, Best Fitness: 0.065123
Iteration 43, Best Fitness: 0.051673
Iteration 44, Best Fitness: 0.030289
Iteration 45, Best Fitness: 0.026146
Iteration 46, Best Fitness: 0.019975
Iteration 47, Best Fitness: 0.016438
Iteration 48, Best Fitness: 0.012677
Iteration 49, Best Fitness: 0.011520
Iteration 50, Best Fitness: 0.009221
Iteration 51, Best Fitness: 0.007758
Iteration 52, Best Fitness: 0.006755
Iteration 53, Best Fitness: 0.004969
Iteration 54, Best Fitness: 0.004467
Iteration 55, Best Fitness: 0.003917
Iteration 56, Best Fitness: 0.003179
Iteration 57, Best Fitness: 0.002703
Iteration 58, Best Fitness: 0.002227
Iteration 59, Best Fitness: 0.001907
Iteration 60, Best Fitness: 0.001624
Iteration 61, Best Fitness: 0.001431
Iteration 62, Best Fitness: 0.001274
Iteration 63, Best Fitness: 0.001047
Iteration 64, Best Fitness: 0.000943
Iteration 65, Best Fitness: 0.000854
Iteration 66, Best Fitness: 0.000700
Iteration 67, Best Fitness: 0.000634
Iteration 68, Best Fitness: 0.000521
Iteration 69, Best Fitness: 0.000481
Iteration 70, Best Fitness: 0.000456
Iteration 71, Best Fitness: 0.000406
Iteration 72, Best Fitness: 0.000360
Iteration 73, Best Fitness: 0.000339
Iteration 74, Best Fitness: 0.000321
Iteration 75, Best Fitness: 0.000283
Iteration 76, Best Fitness: 0.000264
Iteration 77, Best Fitness: 0.000243
Iteration 78, Best Fitness: 0.000225
Iteration 79, Best Fitness: 0.000213
Iteration 80, Best Fitness: 0.000202
Iteration 81, Best Fitness: 0.000187
Iteration 82, Best Fitness: 0.000176
Iteration 83, Best Fitness: 0.000172
Iteration 84, Best Fitness: 0.000161
Iteration 85, Best Fitness: 0.000154
Iteration 86, Best Fitness: 0.000150
Iteration 87, Best Fitness: 0.000140
Iteration 88, Best Fitness: 0.000135
Iteration 89, Best Fitness: 0.000125
Iteration 90, Best Fitness: 0.000123
Iteration 91, Best Fitness: 0.000120
Iteration 92, Best Fitness: 0.000115
Iteration 93, Best Fitness: 0.000114
Iteration 94, Best Fitness: 0.000112
Iteration 95, Best Fitness: 0.000109
Iteration 96, Best Fitness: 0.000108
Iteration 97, Best Fitness: 0.000108
Iteration 98, Best Fitness: 0.000107
Iteration 99, Best Fitness: 0.000106

Final Best Fitness: 0.00010573435891847449
Best Position Found:
[ 0.00308106 -0.00482601 -0.00145578  0.00608458  0.00727648  0.01025916
 -0.00614741  0.00826122 -0.01065047  0.01177262 -0.01132676 -0.01140418
 -0.0119377  -0.01176884  0.01417533 -0.014992    0.01179589  0.01545446
 -0.01103217 -0.01552343]
