Optimization Log
Iteration 0, Best Fitness: 349.512924
Iteration 1, Best Fitness: 249.952403
Iteration 2, Best Fitness: 135.878783
Iteration 3, Best Fitness: 81.752483
Iteration 4, Best Fitness: 54.401031
Iteration 5, Best Fitness: 48.237869
Iteration 6, Best Fitness: 36.604990
Iteration 7, Best Fitness: 31.809979
Iteration 8, Best Fitness: 16.325637
Iteration 9, Best Fitness: 8.617148
Iteration 10, Best Fitness: 6.855562
Iteration 11, Best Fitness: 5.429294
Iteration 12, Best Fitness: 4.179380
Iteration 13, Best Fitness: 3.386237
Iteration 14, Best Fitness: 2.106492
Iteration 15, Best Fitness: 1.668816
Iteration 16, Best Fitness: 1.453588
Iteration 17, Best Fitness: 1.230102
Iteration 18, Best Fitness: 1.225839
Iteration 19, Best Fitness: 1.128815
Iteration 20, Best Fitness: 1.093080
Iteration 21, Best Fitness: 1.056781
Iteration 22, Best Fitness: 1.032162
Iteration 23, Best Fitness: 1.019040
Iteration 24, Best Fitness: 1.007544
Iteration 25, Best Fitness: 0.915689
Iteration 26, Best Fitness: 0.862446
Iteration 27, Best Fitness: 0.683596
Iteration 28, Best Fitness: 0.533627
Iteration 29, Best Fitness: 0.347820
Iteration 30, Best Fitness: 0.265647
Iteration 31, Best Fitness: 0.189322
Iteration 32, Best Fitness: 0.093448
Iteration 33, Best Fitness: 0.052409
Iteration 34, Best Fitness: 0.052409
Iteration 35, Best Fitness: 0.035159
Iteration 36, Best Fitness: 0.026597
Iteration 37, Best Fitness: 0.017350
Iteration 38, Best Fitness: 0.013011
Iteration 39, Best Fitness: 0.008343
Iteration 40, Best Fitness: 0.006127
Iteration 41, Best Fitness: 0.004573
Iteration 42, Best Fitness: 0.004147
Iteration 43, Best Fitness: 0.003071
Iteration 44, Best Fitness: 0.002626
Iteration 45, Best Fitness: 0.002168
Iteration 46, Best Fitness: 0.001629
Iteration 47, Best Fitness: 0.001212
Iteration 48, Best Fitness: 0.001000
Iteration 49, Best Fitness: 0.000822
Iteration 50, Best Fitness: 0.000706
Iteration 51, Best Fitness: 0.000547
Iteration 52, Best Fitness: 0.000452
Iteration 53, Best Fitness: 0.000397
Iteration 54, Best Fitness: 0.000326
Iteration 55, Best Fitness: 0.000287
Iteration 56, Best Fitness: 0.000225
Iteration 57, Best Fitness: 0.000197
Iteration 58, Best Fitness: 0.000158
Iteration 59, Best Fitness: 0.000147
Iteration 60, Best Fitness: 0.000134
Iteration 61, Best Fitness: 0.000101
Iteration 62, Best Fitness: 0.000094
Iteration 63, Best Fitness: 0.000079
Iteration 64, Best Fitness: 0.000074
Iteration 65, Best Fitness: 0.000066
Iteration 66, Best Fitness: 0.000061
Iteration 67, Best Fitness: 0.000055
Iteration 68, Best Fitness: 0.000046
Iteration 69, Best Fitness: 0.000040
Iteration 70, Best Fitness: 0.000037
Iteration 71, Best Fitness: 0.000036
Iteration 72, Best Fitness: 0.000030
Iteration 73, Best Fitness: 0.000029
Iteration 74, Best Fitness: 0.000027
Iteration 75, Best Fitness: 0.000025
Iteration 76, Best Fitness: 0.000022
Iteration 77, Best Fitness: 0.000021
Iteration 78, Best Fitness: 0.000019
Iteration 79, Best Fitness: 0.000017
Iteration 80, Best Fitness: 0.000016
Iteration 81, Best Fitness: 0.000016
Iteration 82, Best Fitness: 0.000014
Iteration 83, Best Fitness: 0.000014
Iteration 84, Best Fitness: 0.000014
Iteration 85, Best Fitness: 0.000013
Iteration 86, Best Fitness: 0.000012
Iteration 87, Best Fitness: 0.000012
Iteration 88, Best Fitness: 0.000012
Iteration 89, Best Fitness: 0.000011
Iteration 90, Best Fitness: 0.000011
Iteration 91, Best Fitness: 0.000010
Iteration 92, Best Fitness: 0.000010
Iteration 93, Best Fitness: 0.000010
Iteration 94, Best Fitness: 0.000010
Iteration 95, Best Fitness: 0.000010
Iteration 96, Best Fitness: 0.000009
Iteration 97, Best Fitness: 0.000009
Iteration 98, Best Fitness: 0.000009
Iteration 99, Best Fitness: 0.000009

Final Best Fitness: 9.18005496552965e-06
Best Position Found:
[-0.00107674  0.00150796  0.00170163 -0.00189716 -0.00235222  0.00194819
 -0.00269155 -0.00292423 -0.00243434  0.00247374  0.00366103 -0.00274631
 -0.00275504 -0.00434749  0.00363885 -0.00353831  0.0040079  -0.00437725
 -0.00340294  0.00430749]
