Optimization Log
Iteration 0, Best Fitness: 371064147.473139
Iteration 1, Best Fitness: 115703625.727233
Iteration 2, Best Fitness: 115703625.727233
Iteration 3, Best Fitness: 61202030.244811
Iteration 4, Best Fitness: 13184518.742128
Iteration 5, Best Fitness: 13184518.742128
Iteration 6, Best Fitness: 13184518.742128
Iteration 7, Best Fitness: 7985409.295210
Iteration 8, Best Fitness: 4885010.149985
Iteration 9, Best Fitness: 1693219.259209
Iteration 10, Best Fitness: 552472.242742
Iteration 11, Best Fitness: 192145.450350
Iteration 12, Best Fitness: 51762.401884
Iteration 13, Best Fitness: 4143.606948
Iteration 14, Best Fitness: 203.834306
Iteration 15, Best Fitness: 71.043962
Iteration 16, Best Fitness: 20.267399
Iteration 17, Best Fitness: 15.956836
Iteration 18, Best Fitness: 10.430466
Iteration 19, Best Fitness: 7.288838
Iteration 20, Best Fitness: 4.591261
Iteration 21, Best Fitness: 2.897802
Iteration 22, Best Fitness: 2.897802
Iteration 23, Best Fitness: 2.066863
Iteration 24, Best Fitness: 1.220986
Iteration 25, Best Fitness: 0.791056
Iteration 26, Best Fitness: 0.461222
Iteration 27, Best Fitness: 0.440564
Iteration 28, Best Fitness: 0.360119
Iteration 29, Best Fitness: 0.225570
Iteration 30, Best Fitness: 0.183472
Iteration 31, Best Fitness: 0.183472
Iteration 32, Best Fitness: 0.153351
Iteration 33, Best Fitness: 0.138093
Iteration 34, Best Fitness: 0.138093
Iteration 35, Best Fitness: 0.138093
Iteration 36, Best Fitness: 0.138093
Iteration 37, Best Fitness: 0.135520
Iteration 38, Best Fitness: 0.126167
Iteration 39, Best Fitness: 0.126167
Iteration 40, Best Fitness: 0.126167
Iteration 41, Best Fitness: 0.126167
Iteration 42, Best Fitness: 0.126167
Iteration 43, Best Fitness: 0.126167
Iteration 44, Best Fitness: 0.126167
Iteration 45, Best Fitness: 0.123726
Iteration 46, Best Fitness: 0.123726
Iteration 47, Best Fitness: 0.123726
Iteration 48, Best Fitness: 0.123726
Iteration 49, Best Fitness: 0.121815
Iteration 50, Best Fitness: 0.121815
Iteration 51, Best Fitness: 0.121815
Iteration 52, Best Fitness: 0.121815
Iteration 53, Best Fitness: 0.121815
Iteration 54, Best Fitness: 0.121815
Iteration 55, Best Fitness: 0.121815
Iteration 56, Best Fitness: 0.121043
Iteration 57, Best Fitness: 0.121043
Iteration 58, Best Fitness: 0.117079
Iteration 59, Best Fitness: 0.117079
Iteration 60, Best Fitness: 0.117079
Iteration 61, Best Fitness: 0.117079
Iteration 62, Best Fitness: 0.117079
Iteration 63, Best Fitness: 0.117079
Iteration 64, Best Fitness: 0.117079
Iteration 65, Best Fitness: 0.115456
Iteration 66, Best Fitness: 0.114110
Iteration 67, Best Fitness: 0.112041
Iteration 68, Best Fitness: 0.112041
Iteration 69, Best Fitness: 0.112041
Iteration 70, Best Fitness: 0.111213
Iteration 71, Best Fitness: 0.110993
Iteration 72, Best Fitness: 0.107498
Iteration 73, Best Fitness: 0.107498
Iteration 74, Best Fitness: 0.107498
Iteration 75, Best Fitness: 0.107498
Iteration 76, Best Fitness: 0.106837
Iteration 77, Best Fitness: 0.106837
Iteration 78, Best Fitness: 0.105788
Iteration 79, Best Fitness: 0.105169
Iteration 80, Best Fitness: 0.105169
Iteration 81, Best Fitness: 0.105169
Iteration 82, Best Fitness: 0.105169
Iteration 83, Best Fitness: 0.104404
Iteration 84, Best Fitness: 0.103852
Iteration 85, Best Fitness: 0.102829
Iteration 86, Best Fitness: 0.102792
Iteration 87, Best Fitness: 0.102340
Iteration 88, Best Fitness: 0.101373
Iteration 89, Best Fitness: 0.100969
Iteration 90, Best Fitness: 0.100573
Iteration 91, Best Fitness: 0.100429
Iteration 92, Best Fitness: 0.099334
Iteration 93, Best Fitness: 0.099334
Iteration 94, Best Fitness: 0.098976
Iteration 95, Best Fitness: 0.098605
Iteration 96, Best Fitness: 0.098415
Iteration 97, Best Fitness: 0.098051
Iteration 98, Best Fitness: 0.097996
Iteration 99, Best Fitness: 0.097790

Final Best Fitness: 0.09778953494889195
Best Position Found:
[-1.00004159 -1.00509637 -0.8923172  -0.99921158  0.07677084 -0.99128107
  0.03730899 -1.01528741 -0.07699115  0.04512156 -0.99394509 -1.03490205
 -1.02099979 -1.01688859  0.05299864 -1.00517006 -0.75038768 -0.9068211
 -1.05333005 -0.88219917]
