Optimization Log
Iteration 0, Best Fitness: 588395636.699110
Iteration 1, Best Fitness: 500391094.063276
Iteration 2, Best Fitness: 404702351.800454
Iteration 3, Best Fitness: 143782176.130766
Iteration 4, Best Fitness: 53038421.767311
Iteration 5, Best Fitness: 29396252.907444
Iteration 6, Best Fitness: 11053438.819454
Iteration 7, Best Fitness: 5276134.919535
Iteration 8, Best Fitness: 2524292.095951
Iteration 9, Best Fitness: 701627.003047
Iteration 10, Best Fitness: 620211.703987
Iteration 11, Best Fitness: 500162.998012
Iteration 12, Best Fitness: 308582.920137
Iteration 13, Best Fitness: 60241.987997
Iteration 14, Best Fitness: 2913.275166
Iteration 15, Best Fitness: 1248.312448
Iteration 16, Best Fitness: 46.321393
Iteration 17, Best Fitness: 30.378245
Iteration 18, Best Fitness: 22.002906
Iteration 19, Best Fitness: 15.656453
Iteration 20, Best Fitness: 15.656453
Iteration 21, Best Fitness: 15.656453
Iteration 22, Best Fitness: 8.890739
Iteration 23, Best Fitness: 5.997018
Iteration 24, Best Fitness: 5.546468
Iteration 25, Best Fitness: 4.702066
Iteration 26, Best Fitness: 3.714412
Iteration 27, Best Fitness: 3.527506
Iteration 28, Best Fitness: 2.045371
Iteration 29, Best Fitness: 1.994950
Iteration 30, Best Fitness: 1.096582
Iteration 31, Best Fitness: 1.032648
Iteration 32, Best Fitness: 0.918036
Iteration 33, Best Fitness: 0.763519
Iteration 34, Best Fitness: 0.630486
Iteration 35, Best Fitness: 0.488512
Iteration 36, Best Fitness: 0.396628
Iteration 37, Best Fitness: 0.396628
Iteration 38, Best Fitness: 0.355384
Iteration 39, Best Fitness: 0.303259
Iteration 40, Best Fitness: 0.256341
Iteration 41, Best Fitness: 0.241499
Iteration 42, Best Fitness: 0.241499
Iteration 43, Best Fitness: 0.229660
Iteration 44, Best Fitness: 0.206015
Iteration 45, Best Fitness: 0.206015
Iteration 46, Best Fitness: 0.203077
Iteration 47, Best Fitness: 0.198558
Iteration 48, Best Fitness: 0.185135
Iteration 49, Best Fitness: 0.181918
Iteration 50, Best Fitness: 0.181918
Iteration 51, Best Fitness: 0.164424
Iteration 52, Best Fitness: 0.164283
Iteration 53, Best Fitness: 0.164283
Iteration 54, Best Fitness: 0.164283
Iteration 55, Best Fitness: 0.164283
Iteration 56, Best Fitness: 0.163340
Iteration 57, Best Fitness: 0.163340
Iteration 58, Best Fitness: 0.163340
Iteration 59, Best Fitness: 0.161038
Iteration 60, Best Fitness: 0.160081
Iteration 61, Best Fitness: 0.160081
Iteration 62, Best Fitness: 0.157745
Iteration 63, Best Fitness: 0.156187
Iteration 64, Best Fitness: 0.150809
Iteration 65, Best Fitness: 0.150809
Iteration 66, Best Fitness: 0.150809
Iteration 67, Best Fitness: 0.150655
Iteration 68, Best Fitness: 0.150655
Iteration 69, Best Fitness: 0.150655
Iteration 70, Best Fitness: 0.150002
Iteration 71, Best Fitness: 0.149752
Iteration 72, Best Fitness: 0.146755
Iteration 73, Best Fitness: 0.146289
Iteration 74, Best Fitness: 0.146289
Iteration 75, Best Fitness: 0.146289
Iteration 76, Best Fitness: 0.144329
Iteration 77, Best Fitness: 0.144225
Iteration 78, Best Fitness: 0.143887
Iteration 79, Best Fitness: 0.142706
Iteration 80, Best Fitness: 0.142706
Iteration 81, Best Fitness: 0.142706
Iteration 82, Best Fitness: 0.142706
Iteration 83, Best Fitness: 0.142658
Iteration 84, Best Fitness: 0.142658
Iteration 85, Best Fitness: 0.141838
Iteration 86, Best Fitness: 0.141838
Iteration 87, Best Fitness: 0.141540
Iteration 88, Best Fitness: 0.141540
Iteration 89, Best Fitness: 0.141447
Iteration 90, Best Fitness: 0.140823
Iteration 91, Best Fitness: 0.140483
Iteration 92, Best Fitness: 0.140171
Iteration 93, Best Fitness: 0.140171
Iteration 94, Best Fitness: 0.139952
Iteration 95, Best Fitness: 0.139952
Iteration 96, Best Fitness: 0.139501
Iteration 97, Best Fitness: 0.139469
Iteration 98, Best Fitness: 0.139295
Iteration 99, Best Fitness: 0.139217

Final Best Fitness: 0.13921719354140893
Best Position Found:
[-0.9979283  -0.98176671  0.03205241  0.01693388 -1.01827243 -0.01577157
 -0.9973047  -0.1515409  -0.99391935  0.02333894 -0.9913592  -1.05422731
 -1.06991569 -1.00137906  0.0290183   0.00841504 -1.01716214 -0.92004414
 -0.95031782 -1.02671555  0.10334415 -0.99547672  0.04755743 -0.99365798
 -0.86283419 -1.02433482  0.07119425 -0.9955819  -0.89564353 -1.00995153]
