Optimization Log
Iteration 0, Best Fitness: 1231127366.996264
Iteration 1, Best Fitness: 486361104.941168
Iteration 2, Best Fitness: 349101906.841090
Iteration 3, Best Fitness: 95141460.704050
Iteration 4, Best Fitness: 95141460.704050
Iteration 5, Best Fitness: 16460944.703792
Iteration 6, Best Fitness: 16460944.703792
Iteration 7, Best Fitness: 5236251.238987
Iteration 8, Best Fitness: 2189629.486385
Iteration 9, Best Fitness: 848503.890318
Iteration 10, Best Fitness: 352384.261556
Iteration 11, Best Fitness: 180824.263568
Iteration 12, Best Fitness: 180824.263568
Iteration 13, Best Fitness: 152287.414478
Iteration 14, Best Fitness: 47249.930598
Iteration 15, Best Fitness: 46870.977972
Iteration 16, Best Fitness: 31560.677202
Iteration 17, Best Fitness: 7576.717725
Iteration 18, Best Fitness: 5896.873696
Iteration 19, Best Fitness: 1875.508255
Iteration 20, Best Fitness: 1442.418439
Iteration 21, Best Fitness: 702.775379
Iteration 22, Best Fitness: 383.341819
Iteration 23, Best Fitness: 173.862474
Iteration 24, Best Fitness: 75.283970
Iteration 25, Best Fitness: 28.530014
Iteration 26, Best Fitness: 22.052940
Iteration 27, Best Fitness: 14.258473
Iteration 28, Best Fitness: 10.201882
Iteration 29, Best Fitness: 2.912146
Iteration 30, Best Fitness: 1.793535
Iteration 31, Best Fitness: 1.793535
Iteration 32, Best Fitness: 0.838272
Iteration 33, Best Fitness: 0.546477
Iteration 34, Best Fitness: 0.165026
Iteration 35, Best Fitness: 0.165026
Iteration 36, Best Fitness: 0.165026
Iteration 37, Best Fitness: 0.165026
Iteration 38, Best Fitness: 0.134832
Iteration 39, Best Fitness: 0.085701
Iteration 40, Best Fitness: 0.040377
Iteration 41, Best Fitness: 0.040377
Iteration 42, Best Fitness: 0.040377
Iteration 43, Best Fitness: 0.040377
Iteration 44, Best Fitness: 0.033929
Iteration 45, Best Fitness: 0.033929
Iteration 46, Best Fitness: 0.033929
Iteration 47, Best Fitness: 0.033929
Iteration 48, Best Fitness: 0.015923
Iteration 49, Best Fitness: 0.015923
Iteration 50, Best Fitness: 0.015923
Iteration 51, Best Fitness: 0.015923
Iteration 52, Best Fitness: 0.015923
Iteration 53, Best Fitness: 0.015923
Iteration 54, Best Fitness: 0.015923
Iteration 55, Best Fitness: 0.015923
Iteration 56, Best Fitness: 0.015923
Iteration 57, Best Fitness: 0.015923
Iteration 58, Best Fitness: 0.015923
Iteration 59, Best Fitness: 0.015923
Iteration 60, Best Fitness: 0.015923
Iteration 61, Best Fitness: 0.015923
Iteration 62, Best Fitness: 0.015923
Iteration 63, Best Fitness: 0.012970
Iteration 64, Best Fitness: 0.012970
Iteration 65, Best Fitness: 0.012970
Iteration 66, Best Fitness: 0.012970
Iteration 67, Best Fitness: 0.012970
Iteration 68, Best Fitness: 0.012970
Iteration 69, Best Fitness: 0.012970
Iteration 70, Best Fitness: 0.012970
Iteration 71, Best Fitness: 0.012970
Iteration 72, Best Fitness: 0.012970
Iteration 73, Best Fitness: 0.012970
Iteration 74, Best Fitness: 0.012970
Iteration 75, Best Fitness: 0.012970
Iteration 76, Best Fitness: 0.012970
Iteration 77, Best Fitness: 0.012970
Iteration 78, Best Fitness: 0.012970
Iteration 79, Best Fitness: 0.012970
Iteration 80, Best Fitness: 0.012970
Iteration 81, Best Fitness: 0.012970
Iteration 82, Best Fitness: 0.012970
Iteration 83, Best Fitness: 0.012970
Iteration 84, Best Fitness: 0.012970
Iteration 85, Best Fitness: 0.012970
Iteration 86, Best Fitness: 0.012970
Iteration 87, Best Fitness: 0.012970
Iteration 88, Best Fitness: 0.012970
Iteration 89, Best Fitness: 0.012970
Iteration 90, Best Fitness: 0.012970
Iteration 91, Best Fitness: 0.012970
Iteration 92, Best Fitness: 0.012970
Iteration 93, Best Fitness: 0.012970
Iteration 94, Best Fitness: 0.012970
Iteration 95, Best Fitness: 0.012970
Iteration 96, Best Fitness: 0.012970
Iteration 97, Best Fitness: 0.012970
Iteration 98, Best Fitness: 0.012970
Iteration 99, Best Fitness: 0.012970

Final Best Fitness: 0.012970181534327684
Best Position Found:
[-0.00040228  0.0649582   0.02318894  0.08871261 -0.06471835 -0.12140589
 -0.13551549 -0.15796461  0.08543212  0.12049041]
