Optimization Log
Iteration 0, Best Fitness: 20697567981.813538
Iteration 1, Best Fitness: 8319194091.761580
Iteration 2, Best Fitness: 8319194091.761580
Iteration 3, Best Fitness: 5960669743.269713
Iteration 4, Best Fitness: 3113754760.781073
Iteration 5, Best Fitness: 2255803862.346688
Iteration 6, Best Fitness: 1700372490.421060
Iteration 7, Best Fitness: 863906388.312632
Iteration 8, Best Fitness: 582282641.462004
Iteration 9, Best Fitness: 195877267.534881
Iteration 10, Best Fitness: 195877267.534881
Iteration 11, Best Fitness: 71655203.253279
Iteration 12, Best Fitness: 43741289.004085
Iteration 13, Best Fitness: 31001741.784819
Iteration 14, Best Fitness: 17800685.044288
Iteration 15, Best Fitness: 9816797.457871
Iteration 16, Best Fitness: 5892403.013185
Iteration 17, Best Fitness: 3539607.965742
Iteration 18, Best Fitness: 1770774.775701
Iteration 19, Best Fitness: 910263.623725
Iteration 20, Best Fitness: 408896.425612
Iteration 21, Best Fitness: 303497.771113
Iteration 22, Best Fitness: 197828.120711
Iteration 23, Best Fitness: 82319.656724
Iteration 24, Best Fitness: 44065.513352
Iteration 25, Best Fitness: 28758.294413
Iteration 26, Best Fitness: 17544.691115
Iteration 27, Best Fitness: 9632.797408
Iteration 28, Best Fitness: 5570.740566
Iteration 29, Best Fitness: 3859.255921
Iteration 30, Best Fitness: 2129.657608
Iteration 31, Best Fitness: 1200.622046
Iteration 32, Best Fitness: 799.887717
Iteration 33, Best Fitness: 264.909403
Iteration 34, Best Fitness: 177.415901
Iteration 35, Best Fitness: 104.116363
Iteration 36, Best Fitness: 60.080309
Iteration 37, Best Fitness: 42.356908
Iteration 38, Best Fitness: 40.311849
Iteration 39, Best Fitness: 28.029538
Iteration 40, Best Fitness: 22.027071
Iteration 41, Best Fitness: 15.296004
Iteration 42, Best Fitness: 11.005138
Iteration 43, Best Fitness: 8.305110
Iteration 44, Best Fitness: 4.366256
Iteration 45, Best Fitness: 3.720046
Iteration 46, Best Fitness: 2.977031
Iteration 47, Best Fitness: 2.199032
Iteration 48, Best Fitness: 1.946080
Iteration 49, Best Fitness: 1.565848
Iteration 50, Best Fitness: 1.309663
Iteration 51, Best Fitness: 0.944016
Iteration 52, Best Fitness: 0.867028
Iteration 53, Best Fitness: 0.867028
Iteration 54, Best Fitness: 0.710405
Iteration 55, Best Fitness: 0.658055
Iteration 56, Best Fitness: 0.507490
Iteration 57, Best Fitness: 0.352212
Iteration 58, Best Fitness: 0.343079
Iteration 59, Best Fitness: 0.300434
Iteration 60, Best Fitness: 0.277547
Iteration 61, Best Fitness: 0.277064
Iteration 62, Best Fitness: 0.251561
Iteration 63, Best Fitness: 0.239145
Iteration 64, Best Fitness: 0.213803
Iteration 65, Best Fitness: 0.213803
Iteration 66, Best Fitness: 0.213803
Iteration 67, Best Fitness: 0.213803
Iteration 68, Best Fitness: 0.213803
Iteration 69, Best Fitness: 0.208785
Iteration 70, Best Fitness: 0.208785
Iteration 71, Best Fitness: 0.196530
Iteration 72, Best Fitness: 0.196530
Iteration 73, Best Fitness: 0.167845
Iteration 74, Best Fitness: 0.167845
Iteration 75, Best Fitness: 0.167845
Iteration 76, Best Fitness: 0.167845
Iteration 77, Best Fitness: 0.167845
Iteration 78, Best Fitness: 0.166873
Iteration 79, Best Fitness: 0.154129
Iteration 80, Best Fitness: 0.154129
Iteration 81, Best Fitness: 0.154129
Iteration 82, Best Fitness: 0.142286
Iteration 83, Best Fitness: 0.142286
Iteration 84, Best Fitness: 0.131093
Iteration 85, Best Fitness: 0.131093
Iteration 86, Best Fitness: 0.119175
Iteration 87, Best Fitness: 0.119175
Iteration 88, Best Fitness: 0.119175
Iteration 89, Best Fitness: 0.119175
Iteration 90, Best Fitness: 0.119175
Iteration 91, Best Fitness: 0.119175
Iteration 92, Best Fitness: 0.119175
Iteration 93, Best Fitness: 0.119175
Iteration 94, Best Fitness: 0.119175
Iteration 95, Best Fitness: 0.119175
Iteration 96, Best Fitness: 0.119175
Iteration 97, Best Fitness: 0.119175
Iteration 98, Best Fitness: 0.119175
Iteration 99, Best Fitness: 0.119175

Final Best Fitness: 0.11917475407803632
Best Position Found:
[-0.19454699 -0.21777311  0.17050667 -0.14488667 -0.14697395 -0.04875989
 -0.1634439   0.13885754 -0.08520111  0.15455088 -0.09472992  0.0820272
  0.04348771  0.05524363 -0.15170834 -0.14189824 -0.15834476  0.04123903
  0.11223079 -0.06145562  0.11923054  0.06539713 -0.01272822 -0.08772182
 -0.1212048   0.06272053  0.13158097  0.11757679  0.12195054  0.06037741
 -0.06717409 -0.0042216   0.02675367  0.08417687  0.07432205 -0.1281367
 -0.11450444  0.11494012 -0.09731785 -0.05940701]
