Optimization Log
Iteration 0, Best Fitness: 127.091367
Iteration 1, Best Fitness: 68.111710
Iteration 2, Best Fitness: 68.111710
Iteration 3, Best Fitness: 68.111710
Iteration 4, Best Fitness: 68.111710
Iteration 5, Best Fitness: 68.111710
Iteration 6, Best Fitness: 68.111710
Iteration 7, Best Fitness: 68.111710
Iteration 8, Best Fitness: 66.014913
Iteration 9, Best Fitness: 65.022074
Iteration 10, Best Fitness: 62.090898
Iteration 11, Best Fitness: 62.090898
Iteration 12, Best Fitness: 60.461271
Iteration 13, Best Fitness: 60.461271
Iteration 14, Best Fitness: 55.284453
Iteration 15, Best Fitness: 51.174609
Iteration 16, Best Fitness: 44.776190
Iteration 17, Best Fitness: 42.310402
Iteration 18, Best Fitness: 37.648790
Iteration 19, Best Fitness: 34.270146
Iteration 20, Best Fitness: 26.415104
Iteration 21, Best Fitness: 26.415104
Iteration 22, Best Fitness: 26.415104
Iteration 23, Best Fitness: 26.415104
Iteration 24, Best Fitness: 26.415104
Iteration 25, Best Fitness: 24.293533
Iteration 26, Best Fitness: 17.756270
Iteration 27, Best Fitness: 17.756270
Iteration 28, Best Fitness: 12.848497
Iteration 29, Best Fitness: 12.848497
Iteration 30, Best Fitness: 12.129696
Iteration 31, Best Fitness: 9.411153
Iteration 32, Best Fitness: 9.411153
Iteration 33, Best Fitness: 9.411153
Iteration 34, Best Fitness: 9.411153
Iteration 35, Best Fitness: 5.462712
Iteration 36, Best Fitness: 5.462712
Iteration 37, Best Fitness: 5.462712
Iteration 38, Best Fitness: 5.462712
Iteration 39, Best Fitness: 5.462712
Iteration 40, Best Fitness: 5.462712
Iteration 41, Best Fitness: 5.462712
Iteration 42, Best Fitness: 5.462712
Iteration 43, Best Fitness: 5.462712
Iteration 44, Best Fitness: 5.462712
Iteration 45, Best Fitness: 5.462712
Iteration 46, Best Fitness: 5.462712
Iteration 47, Best Fitness: 5.462712
Iteration 48, Best Fitness: 4.838801
Iteration 49, Best Fitness: 4.838801
Iteration 50, Best Fitness: 4.838801
Iteration 51, Best Fitness: 4.838801
Iteration 52, Best Fitness: 4.838801
Iteration 53, Best Fitness: 4.838801
Iteration 54, Best Fitness: 4.838801
Iteration 55, Best Fitness: 4.838801
Iteration 56, Best Fitness: 4.838801
Iteration 57, Best Fitness: 4.838801
Iteration 58, Best Fitness: 4.838801
Iteration 59, Best Fitness: 4.838801
Iteration 60, Best Fitness: 4.838801
Iteration 61, Best Fitness: 4.838801
Iteration 62, Best Fitness: 4.838801
Iteration 63, Best Fitness: 4.838801
Iteration 64, Best Fitness: 4.188479
Iteration 65, Best Fitness: 4.188479
Iteration 66, Best Fitness: 4.188479
Iteration 67, Best Fitness: 4.188479
Iteration 68, Best Fitness: 4.188479
Iteration 69, Best Fitness: 4.188479
Iteration 70, Best Fitness: 4.188479
Iteration 71, Best Fitness: 4.188479
Iteration 72, Best Fitness: 4.188479
Iteration 73, Best Fitness: 4.188479
Iteration 74, Best Fitness: 4.188479
Iteration 75, Best Fitness: 4.188479
Iteration 76, Best Fitness: 4.188479
Iteration 77, Best Fitness: 4.188479
Iteration 78, Best Fitness: 4.188479
Iteration 79, Best Fitness: 4.188479
Iteration 80, Best Fitness: 4.188479
Iteration 81, Best Fitness: 4.188479
Iteration 82, Best Fitness: 4.188479
Iteration 83, Best Fitness: 4.188479
Iteration 84, Best Fitness: 4.188479
Iteration 85, Best Fitness: 4.188479
Iteration 86, Best Fitness: 4.188479
Iteration 87, Best Fitness: 4.188479
Iteration 88, Best Fitness: 4.188479
Iteration 89, Best Fitness: 4.188479
Iteration 90, Best Fitness: 4.188479
Iteration 91, Best Fitness: 4.188479
Iteration 92, Best Fitness: 4.188479
Iteration 93, Best Fitness: 4.156214
Iteration 94, Best Fitness: 4.140462
Iteration 95, Best Fitness: 4.140462
Iteration 96, Best Fitness: 4.140462
Iteration 97, Best Fitness: 4.083751
Iteration 98, Best Fitness: 4.083751
Iteration 99, Best Fitness: 4.083751

Final Best Fitness: 4.083750690098384
Best Position Found:
[ 0.99244187 -0.99080162 -0.04176371  0.01079703 -0.01252654  0.99696003
 -0.02696379  0.02731839  0.00643952 -0.04478325]
