Optimization Log
Iteration 0, Best Fitness: 368.358971
Iteration 1, Best Fitness: 368.358971
Iteration 2, Best Fitness: 368.358971
Iteration 3, Best Fitness: 364.008655
Iteration 4, Best Fitness: 336.282480
Iteration 5, Best Fitness: 336.282480
Iteration 6, Best Fitness: 278.136996
Iteration 7, Best Fitness: 275.221427
Iteration 8, Best Fitness: 275.221427
Iteration 9, Best Fitness: 275.221427
Iteration 10, Best Fitness: 275.221427
Iteration 11, Best Fitness: 256.835852
Iteration 12, Best Fitness: 256.835852
Iteration 13, Best Fitness: 246.277478
Iteration 14, Best Fitness: 223.462715
Iteration 15, Best Fitness: 223.462715
Iteration 16, Best Fitness: 223.462715
Iteration 17, Best Fitness: 223.462715
Iteration 18, Best Fitness: 220.504296
Iteration 19, Best Fitness: 215.384121
Iteration 20, Best Fitness: 215.384121
Iteration 21, Best Fitness: 215.384121
Iteration 22, Best Fitness: 214.336222
Iteration 23, Best Fitness: 188.741002
Iteration 24, Best Fitness: 188.741002
Iteration 25, Best Fitness: 188.741002
Iteration 26, Best Fitness: 188.741002
Iteration 27, Best Fitness: 188.741002
Iteration 28, Best Fitness: 185.156412
Iteration 29, Best Fitness: 181.013999
Iteration 30, Best Fitness: 181.013999
Iteration 31, Best Fitness: 161.914721
Iteration 32, Best Fitness: 161.914721
Iteration 33, Best Fitness: 149.237116
Iteration 34, Best Fitness: 122.149611
Iteration 35, Best Fitness: 122.149611
Iteration 36, Best Fitness: 116.713713
Iteration 37, Best Fitness: 116.713713
Iteration 38, Best Fitness: 106.680441
Iteration 39, Best Fitness: 104.834315
Iteration 40, Best Fitness: 104.834315
Iteration 41, Best Fitness: 104.834315
Iteration 42, Best Fitness: 85.238861
Iteration 43, Best Fitness: 85.238861
Iteration 44, Best Fitness: 85.238861
Iteration 45, Best Fitness: 85.238861
Iteration 46, Best Fitness: 82.832451
Iteration 47, Best Fitness: 80.447382
Iteration 48, Best Fitness: 80.447382
Iteration 49, Best Fitness: 80.447382
Iteration 50, Best Fitness: 80.447382
Iteration 51, Best Fitness: 80.447382
Iteration 52, Best Fitness: 79.424062
Iteration 53, Best Fitness: 75.683164
Iteration 54, Best Fitness: 46.842930
Iteration 55, Best Fitness: 46.842930
Iteration 56, Best Fitness: 46.842930
Iteration 57, Best Fitness: 46.842930
Iteration 58, Best Fitness: 46.842930
Iteration 59, Best Fitness: 46.842930
Iteration 60, Best Fitness: 46.842930
Iteration 61, Best Fitness: 46.842930
Iteration 62, Best Fitness: 46.842930
Iteration 63, Best Fitness: 46.842930
Iteration 64, Best Fitness: 46.842930
Iteration 65, Best Fitness: 34.220643
Iteration 66, Best Fitness: 34.220643
Iteration 67, Best Fitness: 34.220643
Iteration 68, Best Fitness: 34.220643
Iteration 69, Best Fitness: 32.238394
Iteration 70, Best Fitness: 32.238394
Iteration 71, Best Fitness: 31.798346
Iteration 72, Best Fitness: 31.798346
Iteration 73, Best Fitness: 30.359788
Iteration 74, Best Fitness: 30.359788
Iteration 75, Best Fitness: 29.156561
Iteration 76, Best Fitness: 29.156561
Iteration 77, Best Fitness: 26.464346
Iteration 78, Best Fitness: 26.464346
Iteration 79, Best Fitness: 26.464346
Iteration 80, Best Fitness: 26.464346
Iteration 81, Best Fitness: 26.464346
Iteration 82, Best Fitness: 23.348897
Iteration 83, Best Fitness: 23.348897
Iteration 84, Best Fitness: 23.348897
Iteration 85, Best Fitness: 23.348897
Iteration 86, Best Fitness: 23.348897
Iteration 87, Best Fitness: 21.658624
Iteration 88, Best Fitness: 21.658624
Iteration 89, Best Fitness: 21.658624
Iteration 90, Best Fitness: 21.068768
Iteration 91, Best Fitness: 20.956148
Iteration 92, Best Fitness: 20.689540
Iteration 93, Best Fitness: 20.518125
Iteration 94, Best Fitness: 20.377887
Iteration 95, Best Fitness: 19.818270
Iteration 96, Best Fitness: 19.804681
Iteration 97, Best Fitness: 19.495386
Iteration 98, Best Fitness: 19.365186
Iteration 99, Best Fitness: 19.203452

Final Best Fitness: 19.203451696108118
Best Position Found:
[ 0.00132112 -0.99207362 -0.99399603 -1.00076552  0.99614043  0.05384413
 -1.00220243 -0.03555644  0.04466838 -0.04188732  0.00588527 -0.0421018
 -0.07808642  0.04635634  0.9950764  -0.04323301 -0.01472842  0.03294413
  0.98598878 -0.98499091 -0.03127437  0.98677627  0.98289863  0.06453168
  0.9964399  -0.9985032   0.02457979  0.02511732 -0.06245865 -0.99249437]
