Optimization Log
Iteration 0, Best Fitness: 13701214.693506
Iteration 1, Best Fitness: 4694059.884097
Iteration 2, Best Fitness: 1573684.497206
Iteration 3, Best Fitness: 147780.540861
Iteration 4, Best Fitness: 147780.540861
Iteration 5, Best Fitness: 147780.540861
Iteration 6, Best Fitness: 59983.735397
Iteration 7, Best Fitness: 59983.735397
Iteration 8, Best Fitness: 27249.123573
Iteration 9, Best Fitness: 21824.688639
Iteration 10, Best Fitness: 5063.897840
Iteration 11, Best Fitness: 4959.766044
Iteration 12, Best Fitness: 561.078538
Iteration 13, Best Fitness: 533.749676
Iteration 14, Best Fitness: 520.523795
Iteration 15, Best Fitness: 343.466405
Iteration 16, Best Fitness: 335.171867
Iteration 17, Best Fitness: 223.927895
Iteration 18, Best Fitness: 150.068601
Iteration 19, Best Fitness: 74.367056
Iteration 20, Best Fitness: 51.243041
Iteration 21, Best Fitness: 51.243041
Iteration 22, Best Fitness: 44.974433
Iteration 23, Best Fitness: 38.747853
Iteration 24, Best Fitness: 38.747853
Iteration 25, Best Fitness: 38.747853
Iteration 26, Best Fitness: 22.755907
Iteration 27, Best Fitness: 22.755907
Iteration 28, Best Fitness: 22.747953
Iteration 29, Best Fitness: 15.792606
Iteration 30, Best Fitness: 15.792606
Iteration 31, Best Fitness: 15.792606
Iteration 32, Best Fitness: 15.792606
Iteration 33, Best Fitness: 15.467992
Iteration 34, Best Fitness: 15.467992
Iteration 35, Best Fitness: 15.467992
Iteration 36, Best Fitness: 15.467992
Iteration 37, Best Fitness: 15.467992
Iteration 38, Best Fitness: 14.775244
Iteration 39, Best Fitness: 14.775244
Iteration 40, Best Fitness: 14.775244
Iteration 41, Best Fitness: 12.900489
Iteration 42, Best Fitness: 12.900489
Iteration 43, Best Fitness: 12.900489
Iteration 44, Best Fitness: 12.900489
Iteration 45, Best Fitness: 12.900489
Iteration 46, Best Fitness: 12.900489
Iteration 47, Best Fitness: 12.900489
Iteration 48, Best Fitness: 12.900489
Iteration 49, Best Fitness: 12.833311
Iteration 50, Best Fitness: 12.365351
Iteration 51, Best Fitness: 12.365351
Iteration 52, Best Fitness: 10.612857
Iteration 53, Best Fitness: 10.612857
Iteration 54, Best Fitness: 10.612857
Iteration 55, Best Fitness: 10.183444
Iteration 56, Best Fitness: 10.183444
Iteration 57, Best Fitness: 10.183444
Iteration 58, Best Fitness: 10.183444
Iteration 59, Best Fitness: 10.183444
Iteration 60, Best Fitness: 10.183444
Iteration 61, Best Fitness: 10.183444
Iteration 62, Best Fitness: 10.183444
Iteration 63, Best Fitness: 10.183444
Iteration 64, Best Fitness: 10.183444
Iteration 65, Best Fitness: 8.940703
Iteration 66, Best Fitness: 8.940703
Iteration 67, Best Fitness: 8.940703
Iteration 68, Best Fitness: 8.940703
Iteration 69, Best Fitness: 8.940703
Iteration 70, Best Fitness: 8.940703
Iteration 71, Best Fitness: 8.662645
Iteration 72, Best Fitness: 8.662645
Iteration 73, Best Fitness: 8.662645
Iteration 74, Best Fitness: 8.662645
Iteration 75, Best Fitness: 8.662645
Iteration 76, Best Fitness: 8.662645
Iteration 77, Best Fitness: 8.662645
Iteration 78, Best Fitness: 8.662645
Iteration 79, Best Fitness: 8.662645
Iteration 80, Best Fitness: 8.662645
Iteration 81, Best Fitness: 8.662645
Iteration 82, Best Fitness: 8.662645
Iteration 83, Best Fitness: 8.662645
Iteration 84, Best Fitness: 8.662645
Iteration 85, Best Fitness: 8.662645
Iteration 86, Best Fitness: 8.662645
Iteration 87, Best Fitness: 8.662645
Iteration 88, Best Fitness: 8.662645
Iteration 89, Best Fitness: 8.662645
Iteration 90, Best Fitness: 8.662645
Iteration 91, Best Fitness: 8.642469
Iteration 92, Best Fitness: 8.642469
Iteration 93, Best Fitness: 8.609594
Iteration 94, Best Fitness: 8.602323
Iteration 95, Best Fitness: 8.602323
Iteration 96, Best Fitness: 8.565957
Iteration 97, Best Fitness: 8.551304
Iteration 98, Best Fitness: 8.551304
Iteration 99, Best Fitness: 8.518447

Final Best Fitness: 8.518446943926664
Best Position Found:
[-0.92530655  0.87057099  0.75760434  0.57917997  0.33167962  0.13056331
  0.06350939 -0.03110542  0.02314909  0.00855159]
