Optimization Log
Iteration 0, Best Fitness: 127870878.134865
Iteration 1, Best Fitness: 127870878.134865
Iteration 2, Best Fitness: 40482724.710451
Iteration 3, Best Fitness: 40482724.710451
Iteration 4, Best Fitness: 25626878.051828
Iteration 5, Best Fitness: 15572111.186947
Iteration 6, Best Fitness: 15572111.186947
Iteration 7, Best Fitness: 10857741.329374
Iteration 8, Best Fitness: 9155408.809632
Iteration 9, Best Fitness: 8797608.406268
Iteration 10, Best Fitness: 3062931.011213
Iteration 11, Best Fitness: 900499.911787
Iteration 12, Best Fitness: 900499.911787
Iteration 13, Best Fitness: 524794.730332
Iteration 14, Best Fitness: 524794.730332
Iteration 15, Best Fitness: 355727.915964
Iteration 16, Best Fitness: 199116.708347
Iteration 17, Best Fitness: 119970.591131
Iteration 18, Best Fitness: 66121.251512
Iteration 19, Best Fitness: 37749.662576
Iteration 20, Best Fitness: 16093.404353
Iteration 21, Best Fitness: 16093.404353
Iteration 22, Best Fitness: 9275.784904
Iteration 23, Best Fitness: 7102.897584
Iteration 24, Best Fitness: 5445.918466
Iteration 25, Best Fitness: 4939.478871
Iteration 26, Best Fitness: 3488.490469
Iteration 27, Best Fitness: 2701.036277
Iteration 28, Best Fitness: 1511.465996
Iteration 29, Best Fitness: 1511.465996
Iteration 30, Best Fitness: 1271.593525
Iteration 31, Best Fitness: 819.381323
Iteration 32, Best Fitness: 671.222305
Iteration 33, Best Fitness: 474.321612
Iteration 34, Best Fitness: 394.750093
Iteration 35, Best Fitness: 338.877960
Iteration 36, Best Fitness: 282.922837
Iteration 37, Best Fitness: 249.208235
Iteration 38, Best Fitness: 185.423967
Iteration 39, Best Fitness: 171.240978
Iteration 40, Best Fitness: 152.716606
Iteration 41, Best Fitness: 127.425509
Iteration 42, Best Fitness: 110.823336
Iteration 43, Best Fitness: 97.821084
Iteration 44, Best Fitness: 81.925790
Iteration 45, Best Fitness: 72.231223
Iteration 46, Best Fitness: 68.549255
Iteration 47, Best Fitness: 62.128426
Iteration 48, Best Fitness: 54.514666
Iteration 49, Best Fitness: 53.131909
Iteration 50, Best Fitness: 51.811361
Iteration 51, Best Fitness: 49.920528
Iteration 52, Best Fitness: 46.530393
Iteration 53, Best Fitness: 44.040267
Iteration 54, Best Fitness: 41.501434
Iteration 55, Best Fitness: 38.733964
Iteration 56, Best Fitness: 38.307497
Iteration 57, Best Fitness: 37.212803
Iteration 58, Best Fitness: 35.869530
Iteration 59, Best Fitness: 34.997595
Iteration 60, Best Fitness: 34.177860
Iteration 61, Best Fitness: 33.653003
Iteration 62, Best Fitness: 33.147322
Iteration 63, Best Fitness: 32.886310
Iteration 64, Best Fitness: 32.773429
Iteration 65, Best Fitness: 32.340367
Iteration 66, Best Fitness: 32.216921
Iteration 67, Best Fitness: 31.912889
Iteration 68, Best Fitness: 31.730762
Iteration 69, Best Fitness: 31.519958
Iteration 70, Best Fitness: 31.302788
Iteration 71, Best Fitness: 31.293352
Iteration 72, Best Fitness: 31.133917
Iteration 73, Best Fitness: 30.980444
Iteration 74, Best Fitness: 30.906955
Iteration 75, Best Fitness: 30.843834
Iteration 76, Best Fitness: 30.733300
Iteration 77, Best Fitness: 30.555798
Iteration 78, Best Fitness: 30.522728
Iteration 79, Best Fitness: 30.424632
Iteration 80, Best Fitness: 30.369220
Iteration 81, Best Fitness: 30.293450
Iteration 82, Best Fitness: 30.246435
Iteration 83, Best Fitness: 30.204663
Iteration 84, Best Fitness: 30.152583
Iteration 85, Best Fitness: 30.122015
Iteration 86, Best Fitness: 30.088793
Iteration 87, Best Fitness: 30.068020
Iteration 88, Best Fitness: 30.023669
Iteration 89, Best Fitness: 30.015758
Iteration 90, Best Fitness: 29.986573
Iteration 91, Best Fitness: 29.969885
Iteration 92, Best Fitness: 29.956769
Iteration 93, Best Fitness: 29.934055
Iteration 94, Best Fitness: 29.925964
Iteration 95, Best Fitness: 29.907228
Iteration 96, Best Fitness: 29.899946
Iteration 97, Best Fitness: 29.889321
Iteration 98, Best Fitness: 29.888759
Iteration 99, Best Fitness: 29.880861

Final Best Fitness: 29.880861443192146
Best Position Found:
[-0.09462053  0.03073671  0.01697895  0.00249402 -0.00760251 -0.01500393
  0.02233177 -0.0156913  -0.01400855 -0.01953297  0.02130167  0.01987919
 -0.01308131  0.02242536  0.01545672 -0.01399817 -0.01250984 -0.01617392
 -0.00333945  0.0231891   0.02156491 -0.01705208 -0.01100925 -0.00598839
  0.02298773  0.02646139  0.01891911 -0.01419062 -0.00872726 -0.01665535]
