Optimization Log
Iteration 0, Best Fitness: 7091938572867.245117
Iteration 1, Best Fitness: 33790961.039981
Iteration 2, Best Fitness: 4136027.348955
Iteration 3, Best Fitness: 11620.441802
Iteration 4, Best Fitness: 100.613200
Iteration 5, Best Fitness: 72.395636
Iteration 6, Best Fitness: 72.395636
Iteration 7, Best Fitness: 58.899446
Iteration 8, Best Fitness: 40.010469
Iteration 9, Best Fitness: 33.746114
Iteration 10, Best Fitness: 29.743259
Iteration 11, Best Fitness: 24.795880
Iteration 12, Best Fitness: 17.439873
Iteration 13, Best Fitness: 14.501387
Iteration 14, Best Fitness: 11.613211
Iteration 15, Best Fitness: 10.565219
Iteration 16, Best Fitness: 9.102777
Iteration 17, Best Fitness: 7.491912
Iteration 18, Best Fitness: 5.021474
Iteration 19, Best Fitness: 4.479781
Iteration 20, Best Fitness: 3.116709
Iteration 21, Best Fitness: 2.770484
Iteration 22, Best Fitness: 2.631740
Iteration 23, Best Fitness: 2.121896
Iteration 24, Best Fitness: 1.863090
Iteration 25, Best Fitness: 1.469637
Iteration 26, Best Fitness: 1.196983
Iteration 27, Best Fitness: 1.032527
Iteration 28, Best Fitness: 0.803001
Iteration 29, Best Fitness: 0.715443
Iteration 30, Best Fitness: 0.539875
Iteration 31, Best Fitness: 0.421053
Iteration 32, Best Fitness: 0.380195
Iteration 33, Best Fitness: 0.296641
Iteration 34, Best Fitness: 0.249331
Iteration 35, Best Fitness: 0.226036
Iteration 36, Best Fitness: 0.188644
Iteration 37, Best Fitness: 0.175680
Iteration 38, Best Fitness: 0.146819
Iteration 39, Best Fitness: 0.126263
Iteration 40, Best Fitness: 0.092288
Iteration 41, Best Fitness: 0.090700
Iteration 42, Best Fitness: 0.072472
Iteration 43, Best Fitness: 0.061844
Iteration 44, Best Fitness: 0.055960
Iteration 45, Best Fitness: 0.051041
Iteration 46, Best Fitness: 0.045753
Iteration 47, Best Fitness: 0.041210
Iteration 48, Best Fitness: 0.037917
Iteration 49, Best Fitness: 0.033166
Iteration 50, Best Fitness: 0.029257
Iteration 51, Best Fitness: 0.026369
Iteration 52, Best Fitness: 0.025676
Iteration 53, Best Fitness: 0.022621
Iteration 54, Best Fitness: 0.020874
Iteration 55, Best Fitness: 0.019770
Iteration 56, Best Fitness: 0.018567
Iteration 57, Best Fitness: 0.017016
Iteration 58, Best Fitness: 0.015693
Iteration 59, Best Fitness: 0.014768
Iteration 60, Best Fitness: 0.013448
Iteration 61, Best Fitness: 0.012796
Iteration 62, Best Fitness: 0.011955
Iteration 63, Best Fitness: 0.011150
Iteration 64, Best Fitness: 0.010641
Iteration 65, Best Fitness: 0.010009
Iteration 66, Best Fitness: 0.009397
Iteration 67, Best Fitness: 0.008982
Iteration 68, Best Fitness: 0.008503
Iteration 69, Best Fitness: 0.007994
Iteration 70, Best Fitness: 0.007718
Iteration 71, Best Fitness: 0.007442
Iteration 72, Best Fitness: 0.007155
Iteration 73, Best Fitness: 0.006806
Iteration 74, Best Fitness: 0.006509
Iteration 75, Best Fitness: 0.006315
Iteration 76, Best Fitness: 0.006106
Iteration 77, Best Fitness: 0.005856
Iteration 78, Best Fitness: 0.005694
Iteration 79, Best Fitness: 0.005534
Iteration 80, Best Fitness: 0.005440
Iteration 81, Best Fitness: 0.005223
Iteration 82, Best Fitness: 0.005152
Iteration 83, Best Fitness: 0.004920
Iteration 84, Best Fitness: 0.004851
Iteration 85, Best Fitness: 0.004731
Iteration 86, Best Fitness: 0.004649
Iteration 87, Best Fitness: 0.004565
Iteration 88, Best Fitness: 0.004490
Iteration 89, Best Fitness: 0.004434
Iteration 90, Best Fitness: 0.004385
Iteration 91, Best Fitness: 0.004327
Iteration 92, Best Fitness: 0.004270
Iteration 93, Best Fitness: 0.004224
Iteration 94, Best Fitness: 0.004187
Iteration 95, Best Fitness: 0.004155
Iteration 96, Best Fitness: 0.004126
Iteration 97, Best Fitness: 0.004108
Iteration 98, Best Fitness: 0.004095
Iteration 99, Best Fitness: 0.004085

Final Best Fitness: 0.004084528809756179
Best Position Found:
[-6.43962893e-05  1.53118385e-04  1.12063127e-04 -1.46663549e-04
  1.14796781e-04  1.55732777e-04 -1.03102826e-04  1.97958316e-04
  1.90709684e-04 -1.58419211e-04 -1.34079918e-04  1.64835511e-04
  1.16859204e-04  1.82897958e-04 -1.30404314e-04  1.25329691e-04
  1.35840129e-04 -1.26254289e-04  1.44428385e-04  1.20748343e-04
  1.36705196e-04  9.41137901e-05 -1.13121755e-04 -1.49503256e-04
  1.43503786e-04 -1.78918978e-04  1.40635142e-04 -1.17665612e-04
  8.55791508e-05 -1.46143458e-04]
