Optimization Log
Iteration 0, Best Fitness: -901.529885
Iteration 1, Best Fitness: -901.529885
Iteration 2, Best Fitness: -1177.042613
Iteration 3, Best Fitness: -1177.042613
Iteration 4, Best Fitness: -1177.042613
Iteration 5, Best Fitness: -1754.620509
Iteration 6, Best Fitness: -1754.620509
Iteration 7, Best Fitness: -1754.620509
Iteration 8, Best Fitness: -1754.620509
Iteration 9, Best Fitness: -1754.620509
Iteration 10, Best Fitness: -1754.620509
Iteration 11, Best Fitness: -1754.620509
Iteration 12, Best Fitness: -1754.620509
Iteration 13, Best Fitness: -1754.620509
Iteration 14, Best Fitness: -1754.620509
Iteration 15, Best Fitness: -1754.620509
Iteration 16, Best Fitness: -1754.620509
Iteration 17, Best Fitness: -1754.620509
Iteration 18, Best Fitness: -1754.620509
Iteration 19, Best Fitness: -1754.620509
Iteration 20, Best Fitness: -1754.620509
Iteration 21, Best Fitness: -1754.620509
Iteration 22, Best Fitness: -1754.620509
Iteration 23, Best Fitness: -1754.620509
Iteration 24, Best Fitness: -1754.620509
Iteration 25, Best Fitness: -1754.620509
Iteration 26, Best Fitness: -1754.620509
Iteration 27, Best Fitness: -1754.620509
Iteration 28, Best Fitness: -1754.620509
Iteration 29, Best Fitness: -1754.620509
Iteration 30, Best Fitness: -1754.620509
Iteration 31, Best Fitness: -1754.620509
Iteration 32, Best Fitness: -1754.620509
Iteration 33, Best Fitness: -1754.620509
Iteration 34, Best Fitness: -1754.620509
Iteration 35, Best Fitness: -1754.620509
Iteration 36, Best Fitness: -1754.620509
Iteration 37, Best Fitness: -1754.620509
Iteration 38, Best Fitness: -1754.620509
Iteration 39, Best Fitness: -1754.620509
Iteration 40, Best Fitness: -1754.620509
Iteration 41, Best Fitness: -1754.620509
Iteration 42, Best Fitness: -1754.620509
Iteration 43, Best Fitness: -1754.620509
Iteration 44, Best Fitness: -1754.620509
Iteration 45, Best Fitness: -1754.620509
Iteration 46, Best Fitness: -1754.620509
Iteration 47, Best Fitness: -1754.620509
Iteration 48, Best Fitness: -1754.620509
Iteration 49, Best Fitness: -1754.620509
Iteration 50, Best Fitness: -1754.620509
Iteration 51, Best Fitness: -1754.620509
Iteration 52, Best Fitness: -1754.620509
Iteration 53, Best Fitness: -1754.620509
Iteration 54, Best Fitness: -1754.620509
Iteration 55, Best Fitness: -1754.620509
Iteration 56, Best Fitness: -1754.620509
Iteration 57, Best Fitness: -1754.620509
Iteration 58, Best Fitness: -1769.693851
Iteration 59, Best Fitness: -1769.693851
Iteration 60, Best Fitness: -1769.693851
Iteration 61, Best Fitness: -1769.693851
Iteration 62, Best Fitness: -1769.693851
Iteration 63, Best Fitness: -1769.693851
Iteration 64, Best Fitness: -1769.693851
Iteration 65, Best Fitness: -1974.651302
Iteration 66, Best Fitness: -1974.651302
Iteration 67, Best Fitness: -1974.651302
Iteration 68, Best Fitness: -1974.651302
Iteration 69, Best Fitness: -1974.651302
Iteration 70, Best Fitness: -1974.651302
Iteration 71, Best Fitness: -1974.651302
Iteration 72, Best Fitness: -1974.651302
Iteration 73, Best Fitness: -2124.471751
Iteration 74, Best Fitness: -2124.471751
Iteration 75, Best Fitness: -2124.471751
Iteration 76, Best Fitness: -2124.471751
Iteration 77, Best Fitness: -2124.471751
Iteration 78, Best Fitness: -2124.471751
Iteration 79, Best Fitness: -2124.471751
Iteration 80, Best Fitness: -2124.471751
Iteration 81, Best Fitness: -2124.471751
Iteration 82, Best Fitness: -2124.471751
Iteration 83, Best Fitness: -2124.471751
Iteration 84, Best Fitness: -2158.851873
Iteration 85, Best Fitness: -2170.442373
Iteration 86, Best Fitness: -2170.727487
Iteration 87, Best Fitness: -2170.727487
Iteration 88, Best Fitness: -2170.727487
Iteration 89, Best Fitness: -2170.727487
Iteration 90, Best Fitness: -2172.879675
Iteration 91, Best Fitness: -2172.879675
Iteration 92, Best Fitness: -2172.879675
Iteration 93, Best Fitness: -2183.200420
Iteration 94, Best Fitness: -2207.698742
Iteration 95, Best Fitness: -2207.698742
Iteration 96, Best Fitness: -2214.401833
Iteration 97, Best Fitness: -2214.401833
Iteration 98, Best Fitness: -2217.334441
Iteration 99, Best Fitness: -2219.277384

Final Best Fitness: -2219.277384437779
Best Position Found:
[-301.85359386   66.59211841  -30.28181116  -19.58842112   59.07707983
  424.21869815  203.47306202  419.88670486 -300.34800111  419.47526137]
