Optimization Log
Iteration 0, Best Fitness: -1164.962147
Iteration 1, Best Fitness: -1177.636923
Iteration 2, Best Fitness: -1212.873239
Iteration 3, Best Fitness: -1212.873239
Iteration 4, Best Fitness: -1212.873239
Iteration 5, Best Fitness: -1219.486162
Iteration 6, Best Fitness: -1663.131024
Iteration 7, Best Fitness: -1663.131024
Iteration 8, Best Fitness: -1663.131024
Iteration 9, Best Fitness: -1663.131024
Iteration 10, Best Fitness: -1663.131024
Iteration 11, Best Fitness: -1663.131024
Iteration 12, Best Fitness: -1663.131024
Iteration 13, Best Fitness: -1663.131024
Iteration 14, Best Fitness: -1663.131024
Iteration 15, Best Fitness: -1663.131024
Iteration 16, Best Fitness: -1663.131024
Iteration 17, Best Fitness: -1663.131024
Iteration 18, Best Fitness: -1663.131024
Iteration 19, Best Fitness: -1663.131024
Iteration 20, Best Fitness: -1663.131024
Iteration 21, Best Fitness: -1663.131024
Iteration 22, Best Fitness: -1663.131024
Iteration 23, Best Fitness: -1663.131024
Iteration 24, Best Fitness: -1663.131024
Iteration 25, Best Fitness: -1663.131024
Iteration 26, Best Fitness: -1663.131024
Iteration 27, Best Fitness: -1663.131024
Iteration 28, Best Fitness: -1663.131024
Iteration 29, Best Fitness: -1663.131024
Iteration 30, Best Fitness: -1663.131024
Iteration 31, Best Fitness: -1663.131024
Iteration 32, Best Fitness: -1663.131024
Iteration 33, Best Fitness: -1663.131024
Iteration 34, Best Fitness: -1663.131024
Iteration 35, Best Fitness: -1663.131024
Iteration 36, Best Fitness: -1663.131024
Iteration 37, Best Fitness: -1663.131024
Iteration 38, Best Fitness: -1663.131024
Iteration 39, Best Fitness: -1663.131024
Iteration 40, Best Fitness: -1663.131024
Iteration 41, Best Fitness: -1663.131024
Iteration 42, Best Fitness: -1663.131024
Iteration 43, Best Fitness: -1663.131024
Iteration 44, Best Fitness: -1663.131024
Iteration 45, Best Fitness: -1663.131024
Iteration 46, Best Fitness: -1663.131024
Iteration 47, Best Fitness: -1663.131024
Iteration 48, Best Fitness: -1663.131024
Iteration 49, Best Fitness: -1663.131024
Iteration 50, Best Fitness: -1663.131024
Iteration 51, Best Fitness: -1663.131024
Iteration 52, Best Fitness: -1663.131024
Iteration 53, Best Fitness: -1663.131024
Iteration 54, Best Fitness: -1663.131024
Iteration 55, Best Fitness: -1663.131024
Iteration 56, Best Fitness: -1663.131024
Iteration 57, Best Fitness: -1663.131024
Iteration 58, Best Fitness: -1663.131024
Iteration 59, Best Fitness: -1663.131024
Iteration 60, Best Fitness: -1663.131024
Iteration 61, Best Fitness: -1663.131024
Iteration 62, Best Fitness: -1663.131024
Iteration 63, Best Fitness: -1663.131024
Iteration 64, Best Fitness: -1663.131024
Iteration 65, Best Fitness: -1663.131024
Iteration 66, Best Fitness: -1663.131024
Iteration 67, Best Fitness: -1663.131024
Iteration 68, Best Fitness: -1663.131024
Iteration 69, Best Fitness: -1663.131024
Iteration 70, Best Fitness: -1663.131024
Iteration 71, Best Fitness: -1663.131024
Iteration 72, Best Fitness: -1663.131024
Iteration 73, Best Fitness: -1663.131024
Iteration 74, Best Fitness: -1663.131024
Iteration 75, Best Fitness: -1663.131024
Iteration 76, Best Fitness: -1663.131024
Iteration 77, Best Fitness: -1663.131024
Iteration 78, Best Fitness: -1663.131024
Iteration 79, Best Fitness: -1663.131024
Iteration 80, Best Fitness: -1663.131024
Iteration 81, Best Fitness: -1663.131024
Iteration 82, Best Fitness: -1663.131024
Iteration 83, Best Fitness: -1663.131024
Iteration 84, Best Fitness: -1663.131024
Iteration 85, Best Fitness: -1663.131024
Iteration 86, Best Fitness: -1663.131024
Iteration 87, Best Fitness: -1663.131024
Iteration 88, Best Fitness: -1663.131024
Iteration 89, Best Fitness: -1663.131024
Iteration 90, Best Fitness: -1663.131024
Iteration 91, Best Fitness: -1663.131024
Iteration 92, Best Fitness: -1663.131024
Iteration 93, Best Fitness: -1663.131024
Iteration 94, Best Fitness: -1663.131024
Iteration 95, Best Fitness: -1663.131024
Iteration 96, Best Fitness: -1663.131024
Iteration 97, Best Fitness: -1663.131024
Iteration 98, Best Fitness: -1663.131024
Iteration 99, Best Fitness: -1663.131024

Final Best Fitness: -1663.131024326024
Best Position Found:
[  64.59320459   40.46135398    7.00453837 -297.37912583   83.27024267
 -300.82596079  425.23537287 -326.30002122 -124.08642829  206.55500244]
