Optimization Log
Iteration 0, Best Fitness: 12883.341366
Iteration 1, Best Fitness: 12602.335759
Iteration 2, Best Fitness: 7843.372086
Iteration 3, Best Fitness: 4219.627093
Iteration 4, Best Fitness: 1115.599309
Iteration 5, Best Fitness: 777.873614
Iteration 6, Best Fitness: 777.873614
Iteration 7, Best Fitness: 407.864406
Iteration 8, Best Fitness: 174.651577
Iteration 9, Best Fitness: 174.651577
Iteration 10, Best Fitness: 126.555318
Iteration 11, Best Fitness: 62.618356
Iteration 12, Best Fitness: 37.950183
Iteration 13, Best Fitness: 19.069360
Iteration 14, Best Fitness: 17.378218
Iteration 15, Best Fitness: 15.762437
Iteration 16, Best Fitness: 8.165480
Iteration 17, Best Fitness: 3.155390
Iteration 18, Best Fitness: 1.785248
Iteration 19, Best Fitness: 0.810843
Iteration 20, Best Fitness: 0.639768
Iteration 21, Best Fitness: 0.372172
Iteration 22, Best Fitness: 0.195898
Iteration 23, Best Fitness: 0.153517
Iteration 24, Best Fitness: 0.080502
Iteration 25, Best Fitness: 0.052480
Iteration 26, Best Fitness: 0.040982
Iteration 27, Best Fitness: 0.022845
Iteration 28, Best Fitness: 0.011682
Iteration 29, Best Fitness: 0.010338
Iteration 30, Best Fitness: 0.007674
Iteration 31, Best Fitness: 0.006273
Iteration 32, Best Fitness: 0.003152
Iteration 33, Best Fitness: 0.002679
Iteration 34, Best Fitness: 0.001598
Iteration 35, Best Fitness: 0.001532
Iteration 36, Best Fitness: 0.001040
Iteration 37, Best Fitness: 0.000614
Iteration 38, Best Fitness: 0.000614
Iteration 39, Best Fitness: 0.000426
Iteration 40, Best Fitness: 0.000341
Iteration 41, Best Fitness: 0.000259
Iteration 42, Best Fitness: 0.000183
Iteration 43, Best Fitness: 0.000150
Iteration 44, Best Fitness: 0.000143
Iteration 45, Best Fitness: 0.000099
Iteration 46, Best Fitness: 0.000071
Iteration 47, Best Fitness: 0.000057
Iteration 48, Best Fitness: 0.000027
Iteration 49, Best Fitness: 0.000027
Iteration 50, Best Fitness: 0.000022
Iteration 51, Best Fitness: 0.000020
Iteration 52, Best Fitness: 0.000019
Iteration 53, Best Fitness: 0.000014
Iteration 54, Best Fitness: 0.000010
Iteration 55, Best Fitness: 0.000007
Iteration 56, Best Fitness: 0.000006
Iteration 57, Best Fitness: 0.000005
Iteration 58, Best Fitness: 0.000004
Iteration 59, Best Fitness: 0.000004
Iteration 60, Best Fitness: 0.000003
Iteration 61, Best Fitness: 0.000002
Iteration 62, Best Fitness: 0.000002
Iteration 63, Best Fitness: 0.000002
Iteration 64, Best Fitness: 0.000002
Iteration 65, Best Fitness: 0.000001
Iteration 66, Best Fitness: 0.000001
Iteration 67, Best Fitness: 0.000001
Iteration 68, Best Fitness: 0.000001
Iteration 69, Best Fitness: 0.000001
Iteration 70, Best Fitness: 0.000001
Iteration 71, Best Fitness: 0.000001
Iteration 72, Best Fitness: 0.000001
Iteration 73, Best Fitness: 0.000001
Iteration 74, Best Fitness: 0.000001
Iteration 75, Best Fitness: 0.000000
Iteration 76, Best Fitness: 0.000000
Iteration 77, Best Fitness: 0.000000
Iteration 78, Best Fitness: 0.000000
Iteration 79, Best Fitness: 0.000000
Iteration 80, Best Fitness: 0.000000
Iteration 81, Best Fitness: 0.000000
Iteration 82, Best Fitness: 0.000000
Iteration 83, Best Fitness: 0.000000
Iteration 84, Best Fitness: 0.000000
Iteration 85, Best Fitness: 0.000000
Iteration 86, Best Fitness: 0.000000
Iteration 87, Best Fitness: 0.000000
Iteration 88, Best Fitness: 0.000000
Iteration 89, Best Fitness: 0.000000
Iteration 90, Best Fitness: 0.000000
Iteration 91, Best Fitness: 0.000000
Iteration 92, Best Fitness: 0.000000
Iteration 93, Best Fitness: 0.000000
Iteration 94, Best Fitness: 0.000000
Iteration 95, Best Fitness: 0.000000
Iteration 96, Best Fitness: 0.000000
Iteration 97, Best Fitness: 0.000000
Iteration 98, Best Fitness: 0.000000
Iteration 99, Best Fitness: 0.000000

Final Best Fitness: 1.5485628226484024e-07
Best Position Found:
[ 1.32346570e-04 -1.37376428e-04 -1.25765655e-04 -1.26767710e-04
  1.25287888e-04 -1.29673356e-04 -1.09529193e-04 -1.31803357e-04
  1.24967030e-04  9.53077670e-05]
