Optimization Log
Iteration 0, Best Fitness: 33336.632518
Iteration 1, Best Fitness: 18052.807187
Iteration 2, Best Fitness: 18052.807187
Iteration 3, Best Fitness: 13336.459860
Iteration 4, Best Fitness: 10309.670022
Iteration 5, Best Fitness: 5781.651956
Iteration 6, Best Fitness: 4882.642756
Iteration 7, Best Fitness: 3505.053525
Iteration 8, Best Fitness: 2188.223547
Iteration 9, Best Fitness: 1490.438652
Iteration 10, Best Fitness: 1257.262546
Iteration 11, Best Fitness: 1061.447988
Iteration 12, Best Fitness: 712.998265
Iteration 13, Best Fitness: 434.224369
Iteration 14, Best Fitness: 322.223233
Iteration 15, Best Fitness: 250.805549
Iteration 16, Best Fitness: 202.414201
Iteration 17, Best Fitness: 125.116108
Iteration 18, Best Fitness: 122.896527
Iteration 19, Best Fitness: 74.471925
Iteration 20, Best Fitness: 61.330807
Iteration 21, Best Fitness: 35.478909
Iteration 22, Best Fitness: 26.042221
Iteration 23, Best Fitness: 17.478684
Iteration 24, Best Fitness: 9.564061
Iteration 25, Best Fitness: 5.233825
Iteration 26, Best Fitness: 2.958092
Iteration 27, Best Fitness: 2.402932
Iteration 28, Best Fitness: 1.596124
Iteration 29, Best Fitness: 1.108440
Iteration 30, Best Fitness: 0.795014
Iteration 31, Best Fitness: 0.518777
Iteration 32, Best Fitness: 0.291400
Iteration 33, Best Fitness: 0.234000
Iteration 34, Best Fitness: 0.163556
Iteration 35, Best Fitness: 0.128246
Iteration 36, Best Fitness: 0.096110
Iteration 37, Best Fitness: 0.072790
Iteration 38, Best Fitness: 0.053481
Iteration 39, Best Fitness: 0.037773
Iteration 40, Best Fitness: 0.029084
Iteration 41, Best Fitness: 0.022223
Iteration 42, Best Fitness: 0.014356
Iteration 43, Best Fitness: 0.010309
Iteration 44, Best Fitness: 0.007408
Iteration 45, Best Fitness: 0.007408
Iteration 46, Best Fitness: 0.005023
Iteration 47, Best Fitness: 0.003990
Iteration 48, Best Fitness: 0.003035
Iteration 49, Best Fitness: 0.002693
Iteration 50, Best Fitness: 0.002067
Iteration 51, Best Fitness: 0.001640
Iteration 52, Best Fitness: 0.001433
Iteration 53, Best Fitness: 0.001186
Iteration 54, Best Fitness: 0.001084
Iteration 55, Best Fitness: 0.000884
Iteration 56, Best Fitness: 0.000710
Iteration 57, Best Fitness: 0.000660
Iteration 58, Best Fitness: 0.000549
Iteration 59, Best Fitness: 0.000507
Iteration 60, Best Fitness: 0.000402
Iteration 61, Best Fitness: 0.000340
Iteration 62, Best Fitness: 0.000321
Iteration 63, Best Fitness: 0.000294
Iteration 64, Best Fitness: 0.000263
Iteration 65, Best Fitness: 0.000241
Iteration 66, Best Fitness: 0.000215
Iteration 67, Best Fitness: 0.000202
Iteration 68, Best Fitness: 0.000179
Iteration 69, Best Fitness: 0.000163
Iteration 70, Best Fitness: 0.000145
Iteration 71, Best Fitness: 0.000133
Iteration 72, Best Fitness: 0.000113
Iteration 73, Best Fitness: 0.000109
Iteration 74, Best Fitness: 0.000104
Iteration 75, Best Fitness: 0.000099
Iteration 76, Best Fitness: 0.000087
Iteration 77, Best Fitness: 0.000083
Iteration 78, Best Fitness: 0.000074
Iteration 79, Best Fitness: 0.000070
Iteration 80, Best Fitness: 0.000067
Iteration 81, Best Fitness: 0.000061
Iteration 82, Best Fitness: 0.000060
Iteration 83, Best Fitness: 0.000057
Iteration 84, Best Fitness: 0.000053
Iteration 85, Best Fitness: 0.000052
Iteration 86, Best Fitness: 0.000050
Iteration 87, Best Fitness: 0.000048
Iteration 88, Best Fitness: 0.000045
Iteration 89, Best Fitness: 0.000043
Iteration 90, Best Fitness: 0.000042
Iteration 91, Best Fitness: 0.000041
Iteration 92, Best Fitness: 0.000040
Iteration 93, Best Fitness: 0.000039
Iteration 94, Best Fitness: 0.000038
Iteration 95, Best Fitness: 0.000038
Iteration 96, Best Fitness: 0.000037
Iteration 97, Best Fitness: 0.000037
Iteration 98, Best Fitness: 0.000036
Iteration 99, Best Fitness: 0.000036

Final Best Fitness: 3.617037879181535e-05
Best Position Found:
[-0.0014055   0.00131353 -0.0005011   0.00126342  0.00137823 -0.00151892
  0.00129435 -0.00147535  0.00158646 -0.00145645 -0.0015613  -0.00116482
  0.00160737  0.0015247   0.00113992 -0.0011909   0.00110019  0.00132254
 -0.00127888  0.00138203]
