Optimization Log
Iteration 0, Best Fitness: 14475.350941
Iteration 1, Best Fitness: 6136.286505
Iteration 2, Best Fitness: 4083.588349
Iteration 3, Best Fitness: 3871.005434
Iteration 4, Best Fitness: 2038.595461
Iteration 5, Best Fitness: 2038.595461
Iteration 6, Best Fitness: 1346.198017
Iteration 7, Best Fitness: 1127.005148
Iteration 8, Best Fitness: 1049.884933
Iteration 9, Best Fitness: 515.314462
Iteration 10, Best Fitness: 293.121745
Iteration 11, Best Fitness: 273.298034
Iteration 12, Best Fitness: 165.880097
Iteration 13, Best Fitness: 54.698127
Iteration 14, Best Fitness: 44.754297
Iteration 15, Best Fitness: 14.200595
Iteration 16, Best Fitness: 10.806524
Iteration 17, Best Fitness: 5.958661
Iteration 18, Best Fitness: 3.181526
Iteration 19, Best Fitness: 3.181526
Iteration 20, Best Fitness: 2.713616
Iteration 21, Best Fitness: 2.339600
Iteration 22, Best Fitness: 1.918203
Iteration 23, Best Fitness: 1.614772
Iteration 24, Best Fitness: 1.286295
Iteration 25, Best Fitness: 1.174906
Iteration 26, Best Fitness: 1.137376
Iteration 27, Best Fitness: 1.021302
Iteration 28, Best Fitness: 1.002748
Iteration 29, Best Fitness: 0.922464
Iteration 30, Best Fitness: 0.922464
Iteration 31, Best Fitness: 0.887711
Iteration 32, Best Fitness: 0.844451
Iteration 33, Best Fitness: 0.820747
Iteration 34, Best Fitness: 0.731516
Iteration 35, Best Fitness: 0.656562
Iteration 36, Best Fitness: 0.656562
Iteration 37, Best Fitness: 0.656562
Iteration 38, Best Fitness: 0.625815
Iteration 39, Best Fitness: 0.595043
Iteration 40, Best Fitness: 0.585823
Iteration 41, Best Fitness: 0.584717
Iteration 42, Best Fitness: 0.571129
Iteration 43, Best Fitness: 0.504004
Iteration 44, Best Fitness: 0.464015
Iteration 45, Best Fitness: 0.464015
Iteration 46, Best Fitness: 0.463958
Iteration 47, Best Fitness: 0.463958
Iteration 48, Best Fitness: 0.430249
Iteration 49, Best Fitness: 0.407410
Iteration 50, Best Fitness: 0.399863
Iteration 51, Best Fitness: 0.357450
Iteration 52, Best Fitness: 0.348878
Iteration 53, Best Fitness: 0.308046
Iteration 54, Best Fitness: 0.308046
Iteration 55, Best Fitness: 0.308046
Iteration 56, Best Fitness: 0.303865
Iteration 57, Best Fitness: 0.287447
Iteration 58, Best Fitness: 0.287447
Iteration 59, Best Fitness: 0.281407
Iteration 60, Best Fitness: 0.281407
Iteration 61, Best Fitness: 0.268001
Iteration 62, Best Fitness: 0.268001
Iteration 63, Best Fitness: 0.268001
Iteration 64, Best Fitness: 0.268001
Iteration 65, Best Fitness: 0.268001
Iteration 66, Best Fitness: 0.268001
Iteration 67, Best Fitness: 0.268001
Iteration 68, Best Fitness: 0.268001
Iteration 69, Best Fitness: 0.268001
Iteration 70, Best Fitness: 0.268001
Iteration 71, Best Fitness: 0.266682
Iteration 72, Best Fitness: 0.264197
Iteration 73, Best Fitness: 0.260682
Iteration 74, Best Fitness: 0.260682
Iteration 75, Best Fitness: 0.260682
Iteration 76, Best Fitness: 0.260682
Iteration 77, Best Fitness: 0.260682
Iteration 78, Best Fitness: 0.255525
Iteration 79, Best Fitness: 0.255525
Iteration 80, Best Fitness: 0.255525
Iteration 81, Best Fitness: 0.255525
Iteration 82, Best Fitness: 0.255525
Iteration 83, Best Fitness: 0.255525
Iteration 84, Best Fitness: 0.255525
Iteration 85, Best Fitness: 0.255525
Iteration 86, Best Fitness: 0.255525
Iteration 87, Best Fitness: 0.255525
Iteration 88, Best Fitness: 0.255525
Iteration 89, Best Fitness: 0.255184
Iteration 90, Best Fitness: 0.255013
Iteration 91, Best Fitness: 0.254734
Iteration 92, Best Fitness: 0.253854
Iteration 93, Best Fitness: 0.253650
Iteration 94, Best Fitness: 0.253650
Iteration 95, Best Fitness: 0.253113
Iteration 96, Best Fitness: 0.253113
Iteration 97, Best Fitness: 0.253055
Iteration 98, Best Fitness: 0.252891
Iteration 99, Best Fitness: 0.252874

Final Best Fitness: 0.2528739845369736
Best Position Found:
[-0.49758703  0.00271864 -0.50676361 -0.50072663 -0.49454332 -0.49575258
 -0.49795504 -0.50574531 -0.49678142 -0.49929923]
