Optimization Log
Iteration 0, Best Fitness: 18638.815067
Iteration 1, Best Fitness: 10576.989678
Iteration 2, Best Fitness: 10576.989678
Iteration 3, Best Fitness: 7480.338987
Iteration 4, Best Fitness: 5711.859620
Iteration 5, Best Fitness: 3261.527088
Iteration 6, Best Fitness: 1192.816269
Iteration 7, Best Fitness: 985.895514
Iteration 8, Best Fitness: 834.564940
Iteration 9, Best Fitness: 372.941218
Iteration 10, Best Fitness: 254.970968
Iteration 11, Best Fitness: 186.330572
Iteration 12, Best Fitness: 52.101635
Iteration 13, Best Fitness: 43.393342
Iteration 14, Best Fitness: 16.432855
Iteration 15, Best Fitness: 16.432855
Iteration 16, Best Fitness: 12.018793
Iteration 17, Best Fitness: 6.487544
Iteration 18, Best Fitness: 3.091940
Iteration 19, Best Fitness: 1.537122
Iteration 20, Best Fitness: 0.965262
Iteration 21, Best Fitness: 0.919205
Iteration 22, Best Fitness: 0.739765
Iteration 23, Best Fitness: 0.686483
Iteration 24, Best Fitness: 0.579438
Iteration 25, Best Fitness: 0.579438
Iteration 26, Best Fitness: 0.509512
Iteration 27, Best Fitness: 0.470471
Iteration 28, Best Fitness: 0.470471
Iteration 29, Best Fitness: 0.423757
Iteration 30, Best Fitness: 0.423757
Iteration 31, Best Fitness: 0.412837
Iteration 32, Best Fitness: 0.404294
Iteration 33, Best Fitness: 0.404294
Iteration 34, Best Fitness: 0.342948
Iteration 35, Best Fitness: 0.342948
Iteration 36, Best Fitness: 0.342948
Iteration 37, Best Fitness: 0.337090
Iteration 38, Best Fitness: 0.316945
Iteration 39, Best Fitness: 0.316945
Iteration 40, Best Fitness: 0.311649
Iteration 41, Best Fitness: 0.311649
Iteration 42, Best Fitness: 0.304423
Iteration 43, Best Fitness: 0.304423
Iteration 44, Best Fitness: 0.304423
Iteration 45, Best Fitness: 0.292859
Iteration 46, Best Fitness: 0.283468
Iteration 47, Best Fitness: 0.283468
Iteration 48, Best Fitness: 0.283468
Iteration 49, Best Fitness: 0.283468
Iteration 50, Best Fitness: 0.283468
Iteration 51, Best Fitness: 0.283468
Iteration 52, Best Fitness: 0.283468
Iteration 53, Best Fitness: 0.276717
Iteration 54, Best Fitness: 0.276717
Iteration 55, Best Fitness: 0.274298
Iteration 56, Best Fitness: 0.274298
Iteration 57, Best Fitness: 0.274298
Iteration 58, Best Fitness: 0.274298
Iteration 59, Best Fitness: 0.274298
Iteration 60, Best Fitness: 0.274298
Iteration 61, Best Fitness: 0.268191
Iteration 62, Best Fitness: 0.268191
Iteration 63, Best Fitness: 0.268191
Iteration 64, Best Fitness: 0.268191
Iteration 65, Best Fitness: 0.268191
Iteration 66, Best Fitness: 0.263237
Iteration 67, Best Fitness: 0.263237
Iteration 68, Best Fitness: 0.263237
Iteration 69, Best Fitness: 0.263237
Iteration 70, Best Fitness: 0.263237
Iteration 71, Best Fitness: 0.260922
Iteration 72, Best Fitness: 0.260922
Iteration 73, Best Fitness: 0.260922
Iteration 74, Best Fitness: 0.260922
Iteration 75, Best Fitness: 0.260922
Iteration 76, Best Fitness: 0.260922
Iteration 77, Best Fitness: 0.260922
Iteration 78, Best Fitness: 0.257443
Iteration 79, Best Fitness: 0.257443
Iteration 80, Best Fitness: 0.257443
Iteration 81, Best Fitness: 0.257443
Iteration 82, Best Fitness: 0.257443
Iteration 83, Best Fitness: 0.257443
Iteration 84, Best Fitness: 0.257443
Iteration 85, Best Fitness: 0.257081
Iteration 86, Best Fitness: 0.256252
Iteration 87, Best Fitness: 0.255543
Iteration 88, Best Fitness: 0.254321
Iteration 89, Best Fitness: 0.254321
Iteration 90, Best Fitness: 0.254305
Iteration 91, Best Fitness: 0.254305
Iteration 92, Best Fitness: 0.254281
Iteration 93, Best Fitness: 0.253803
Iteration 94, Best Fitness: 0.253803
Iteration 95, Best Fitness: 0.253803
Iteration 96, Best Fitness: 0.253508
Iteration 97, Best Fitness: 0.253508
Iteration 98, Best Fitness: 0.253508
Iteration 99, Best Fitness: 0.253442

Final Best Fitness: 0.25344208310540467
Best Position Found:
[-0.49833242 -0.50334917 -0.50240558 -0.49655255  0.00328859 -0.50520104
 -0.49598946 -0.50282932 -0.49967777 -0.50773055]
